Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
4/17/2008,28.836,0,36.5,13.5,6.59,1.07,0
4/18/2008,28.793,0,32.5,16,5.81,0.99,0
4/19/2008,28.709,0,35,12,5.65,0.75,0
4/20/2008,28.666,0,37.5,11.5,6.77,0.86,0
4/21/2008,28.666,0,38.5,20,6.56,0.86,0
4/22/2008,28.666,0,37.5,20,6.8,0.65,0
4/23/2008,28.666,0,35.5,23,5.29,0.68,0
4/24/2008,28.666,0,38,22.5,4.88,1.01,0
4/25/2008,28.624,0,33,22,5.39,1.27,0
4/26/2008,28.582,8.5,26,20.5,3.39,1.03,0
4/27/2008,28.624,17.7,27.5,17.5,1.59,0.86,0
4/28/2008,28.709,0,25,12.5,1.42,0.86,0
4/29/2008,28.709,0,30.5,11,2.5,0.76,0
4/30/2008,28.709,0,34.5,10,4.65,0.77,0
5/1/2008,28.709,0,40,14.5,4.88,0.76,0
5/2/2008,28.666,0,41.5,14.5,6.78,0.87,0
5/3/2008,28.624,53,34,14,7.97,0.76,0
5/4/2008,28.793,7,25.5,20.5,6.18,0.86,0
5/5/2008,28.92,1,25,20.5,2.58,0.87,0
5/6/2008,28.92,0,30,22,1.8,0.76,0
5/7/2008,28.878,0,36,20,1.9,0.76,0
5/8/2008,28.836,0,37,19.5,3.29,0.76,0
5/9/2008,28.751,0,37,19.5,5.39,0.86,0
5/10/2008,28.709,0,38,23,5.18,0.86,0
5/11/2008,28.624,1.9,36.5,22,5.16,0.5,0
5/12/2008,28.624,6.9,31,19.5,5.18,1.15,0
5/13/2008,28.624,0,37,20,3.74,0.75,0
5/14/2008,28.582,1,36.5,23.5,4.12,0.75,0
5/15/2008,28.582,0.8,32.5,21,3.9,0.84,0
5/16/2008,28.539,21,24.5,21,2.94,1.07,0
5/17/2008,28.582,1.2,24,18,1.94,1.06,0
5/18/2008,28.582,0,32,16.5,1.9,0.87,0
5/19/2008,28.582,0,30.5,16.5,3.22,0.87,0
5/20/2008,28.582,0,37.5,16,5.13,0.75,0
5/21/2008,28.539,0,37,16.5,4.96,0.76,0
5/22/2008,28.497,0,37,16.5,5.98,0.9,0
5/23/2008,28.455,0,40.5,17,6.89,1.08,0
5/24/2008,28.288,0,37,21.5,8.41,1.1,0
5/25/2008,28.209,0,36.5,23,5.25,1.4,0
5/26/2008,28.13,0,37.5,23,5.01,1.13,0
5/27/2008,28.091,0,36,23.5,5.76,0.75,0
5/28/2008,28.091,0,35.5,23,5.77,0.75,0
5/29/2008,28.012,0,35.5,20.5,6.01,0.76,0
5/30/2008,27.893,0,36.5,20.5,7.75,0.75,0
5/31/2008,27.854,0,37,21,6.56,0.75,0
6/1/2008,27.775,0,38,22,8.09,0.86,0
6/2/2008,27.696,0,38.5,22,6.74,1.1,0
6/3/2008,27.617,0,39,22.5,8.22,0.97,0
6/4/2008,27.577,0,39.5,23,9.11,0.85,0
6/5/2008,27.498,0,40.5,23.5,8.04,1.28,0
6/6/2008,27.419,0,37.5,24,7.26,1.22,0
6/7/2008,27.38,0,35.5,25,5.3,1.64,0
6/8/2008,27.301,0,34,25,6.79,1.46,0
6/9/2008,27.222,0,36.5,21.5,5.62,1.25,0
6/10/2008,27.182,0,37,22,5,0.91,0
6/11/2008,27.182,0,37,23,5.98,1.16,0
6/12/2008,27.064,1.8,34.5,23,5.64,1.25,0
6/13/2008,27.024,0,37,24,3.9,1.3,0
6/14/2008,26.985,0,37.5,24,7.52,1.46,0
6/15/2008,26.905,0,39.5,23.5,5.24,1.66,0
6/16/2008,26.866,0,39.5,23.5,7.53,1.48,0
6/17/2008,26.787,0,40,23,8.28,1.15,0
6/18/2008,26.747,0,41,23,9.46,1.41,0
6/19/2008,26.668,0,41.5,24.5,9.22,1.44,0
6/20/2008,26.589,0,39.5,24.5,9.11,1.37,0
6/21/2008,26.55,0.4,38.5,24.5,6.95,1.43,0
6/22/2008,26.431,0,38,21.5,7.16,1.43,0
6/23/2008,26.352,0,38,21,7.42,1.15,0
6/24/2008,26.278,0,37.5,21.5,6.9,1.1,0
6/25/2008,26.241,0,39,22,6.35,1.44,0
6/26/2008,26.131,0,39.5,22,8.08,1.46,0
6/27/2008,26.094,0,40.5,22,8.87,1.46,0
6/28/2008,26.057,0,37.5,22.5,7.62,0.93,0
6/29/2008,25.909,0,38,22.5,7.45,1.65,0
6/30/2008,25.835,9.1,36,22.5,7.64,1.33,0
7/1/2008,25.835,0.7,35,20.5,5.12,1.45,0
7/2/2008,25.835,0,33.5,21.5,3.77,1.47,0
7/3/2008,25.761,6,32,23,4.31,1.46,0
7/4/2008,25.687,52.6,24,22,2.8,1.44,0
7/5/2008,25.872,81.2,26.5,22,1.01,1.45,0
7/6/2008,26.55,25,28.5,21.5,0.85,1.64,0
7/7/2008,27.103,14,27,21.5,2.93,1.2,0
7/8/2008,27.419,7.5,27.5,22,1.58,0.92,0
7/9/2008,27.696,0.6,31.5,22.5,2.81,1.04,0
7/10/2008,27.814,0,33,21,3.33,1.07,0
