Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
9/1/2022 0:00,9/1/2022 5:00,118,104,0,0,27.5,75,998.1,0,0
9/1/2022 0:10,9/1/2022 5:10,108,122,0,0,27.5,74,997.9,0,0
9/1/2022 0:20,9/1/2022 5:20,111,88,0,0,27.4,75,997.9,0,0
9/1/2022 0:30,9/1/2022 5:30,118,121,0,0,27.3,75,997.7,0,0
9/1/2022 0:40,9/1/2022 5:40,113,112,0.7,16.1,27.3,74,997.9,0,0
9/1/2022 0:50,9/1/2022 5:50,105,85,0.2,9.7,27.2,74,997.9,0,0
9/1/2022 1:00,9/1/2022 6:00,100,108,0,0,27.1,75,997.9,0,0
9/1/2022 1:10,9/1/2022 6:10,77,103,0.6,11.5,27,76,998.2,0,0
9/1/2022 1:20,9/1/2022 6:20,87,64,0,0,26.8,77,998.2,0,0
9/1/2022 1:30,9/1/2022 6:30,108,97,0.1,5.9,26.7,78,998.2,0,0
9/1/2022 1:40,9/1/2022 6:40,118,140,0,0,26.8,78,998.2,0,0
9/1/2022 1:50,9/1/2022 6:50,121,134,4.3,16.5,26.9,79,998,0,0
9/1/2022 2:00,9/1/2022 7:00,124,130,1,16.3,26.9,79,997.9,0,0
9/1/2022 2:10,9/1/2022 7:10,118,104,0,0,26.9,79,997.8,0,0
9/1/2022 2:20,9/1/2022 7:20,127,137,0,0,26.9,80,997.7,0,0
9/1/2022 2:30,9/1/2022 7:30,126,144,0.6,14.2,26.9,80,997.9,0,0
9/1/2022 2:40,9/1/2022 7:40,119,121,0,0,26.9,80,998,0,0
9/1/2022 2:50,9/1/2022 7:50,121,107,0,0,26.9,81,997.9,0,0
9/1/2022 3:00,9/1/2022 8:00,127,119,0,0,26.8,81,997.9,0,0
9/1/2022 3:10,9/1/2022 8:10,135,139,0,0,26.8,81,997.9,0,0
