Date,Time,Dir,WSMDir,WSK,WSMK,AvgTemp,AvgRh,AvgBP,Rain,AvgSR
2000 Ago 01,0:00,95,108,15.6,28.7,37.2,29,992.6,0,108
2000 Ago 01,0:10,117,118,21,27.5,36.5,38,992.6,0,68
2000 Ago 01,0:20,111,107,28.5,39,35.8,39,993,0,45
2000 Ago 01,0:30,141,171,31.8,43.6,34.1,49,993.4,0,38
2000 Ago 01,0:40,156,143,30.7,50,30.5,64,993.8,0,36
2000 Ago 01,0:50,161,147,30,48.3,29.3,67,993.9,0,33
2000 Ago 01,1:00,166,167,31,59.2,28.6,71,994,0,31
2000 Ago 01,1:10,154,157,32.2,52.3,27.9,73,994.1,0,21
2000 Ago 01,1:20,126,123,31.6,44.8,27,72,994.2,0,15
2000 Ago 01,1:30,114,122,32.7,43.1,27,68,994.4,0,4
2000 Ago 01,1:40,116,122,30.4,40.2,27.3,69,994.5,0,-1
2000 Ago 01,1:50,74,100,22.6,31,27.3,70,994.9,0,-2
2000 Ago 01,2:00,67,64,22.9,30.4,27.5,72,995.4,0,-2
2000 Ago 01,2:10,56,60,22.2,29.8,28.3,69,995.4,0,-3
2000 Ago 01,2:20,58,56,16.8,29.2,27.6,72,995.6,0,-5
2000 Ago 01,2:30,78,80,12.9,17.2,27.7,69,995.7,0,-4
2000 Ago 01,2:40,86,79,11.2,14.3,28.2,67,995.8,0,-4
2000 Ago 01,2:50,92,81,13.5,17.7,28.3,68,995.8,0,-2
2000 Ago 01,3:00,94,91,16.9,22.9,28.6,70,996,0,-2
2000 Ago 01,3:10,105,121,18.5,22.9,28.8,70,996.2,0,-2
2000 Ago 01,3:20,110,109,20.7,29.2,28.9,69,996.4,0,-2
2000 Ago 01,3:30,110,120,20.5,25.8,29.1,68,996.6,0,-2
2000 Ago 01,3:40,111,105,20.3,27.5,29.1,68,996.6,0,-2
2000 Ago 01,3:50,118,113,22.4,28.7,29,69,996.6,0,-2
2000 Ago 01,4:00,120,134,18.1,24.1,28.8,71,996.8,0,-2
2000 Ago 01,4:10,117,127,14.6,21.2,28.6,73,997,0,-2
2000 Ago 01,4:20,123,120,17.1,22.3,28.6,73,997,0,-2
2000 Ago 01,4:30,119,120,16.1,20.6,28.5,73,997.1,0,-2
2000 Ago 01,4:40,121,106,15.2,20.6,28.4,74,997.2,0,-2
2000 Ago 01,4:50,123,126,15,18.9,28.3,75,997.2,0,-2
2000 Ago 01,5:00,121,117,17.4,23.5,28.2,74,997.3,0,-2
2000 Ago 01,5:10,121,113,20.1,27.5,28.2,73,997.3,0,-2
2000 Ago 01,5:20,122,119,21.8,26.9,28.2,73,997.4,0,-2
2000 Ago 01,5:30,122,123,19.6,25.2,28,75,997.4,0,-2
2000 Ago 01,5:40,121,119,16.7,24.6,27.9,75,997.4,0,-2
2000 Ago 01,5:50,122,130,22.4,28.7,27.9,74,997.3,0,-2
2000 Ago 01,6:00,116,120,20.1,28.1,27.7,75,997.3,0,-2
2000 Ago 01,6:10,112,115,18.1,25.8,27.6,75,997.2,0,-2
2000 Ago 01,6:20,116,113,16.4,23.5,27.4,77,997.2,0,-3
2000 Ago 01,6:30,113,111,14.5,22.3,27.3,78,997.2,0,-3
2000 Ago 01,6:40,115,107,14.8,20,27.1,79,997.2,0,-3
2000 Ago 01,6:50,113,114,15.4,19.5,27,81,997.2,0,-3
2000 Ago 01,7:00,121,124,15.2,20,26.9,82,997.1,0,-3
2000 Ago 01,7:10,118,119,15.8,20.6,26.8,83,997.1,0,-3
2000 Ago 01,7:20,116,125,15.5,20.6,26.8,83,997,0,-2
2000 Ago 01,7:30,118,123,16.7,22.9,26.7,83,996.9,0,-2
2000 Ago 01,7:40,121,122,15.2,20.6,26.6,84,996.7,0,-2
2000 Ago 01,7:50,120,115,15.5,20.6,26.5,85,996.5,0,-3
2000 Ago 01,8:00,118,123,14.9,20.6,26.5,85,996.5,0,-2
2000 Ago 01,8:10,120,123,15,18.9,26.4,85,996.4,0,-3
2000 Ago 01,8:20,122,126,14.8,20.6,26.3,86,996.2,0,-3
2000 Ago 01,8:30,122,119,16.2,21.2,26.2,86,996.1,0,-3
2000 Ago 01,8:40,123,126,16.2,21.8,26.2,86,995.9,0,-3
2000 Ago 01,8:50,119,131,16.7,22.3,26.2,86,995.9,0,-3
2000 Ago 01,9:00,123,119,15.5,20.6,26.1,87,995.9,0,-3
2000 Ago 01,9:10,122,116,15.9,20.6,26.1,87,995.9,0,-3
2000 Ago 01,9:20,126,126,13,19.5,26,87,995.8,0,-3
2000 Ago 01,9:30,141,128,10.6,17.2,26,87,995.8,0,-3
2000 Ago 01,9:40,131,118,10.1,15.4,25.9,88,995.8,0,-3
2000 Ago 01,9:50,135,146,9.9,15.4,25.8,88,995.9,0,-3
2000 Ago 01,10:00,134,154,8.5,14.3,25.7,89,995.8,0,-3
2000 Ago 01,10:10,125,140,12,16.6,25.7,89,995.7,0,-3
2000 Ago 01,10:20,123,127,11.7,16,25.6,89,995.6,0,-3
2000 Ago 01,10:30,116,113,11.3,16.6,25.6,90,995.5,0,-3
2000 Ago 01,10:40,122,116,11.5,16,25.5,90,995.5,0,-3
2000 Ago 01,10:50,115,125,11.8,14.9,25.5,90,995.6,0,-3
2000 Ago 01,11:00,113,122,11.3,16,25.4,90,995.8,0,-3
2000 Ago 01,11:10,107,125,11.3,15.4,25.3,90,995.9,0,-3
2000 Ago 01,11:20,109,110,10.4,14.3,25.2,91,996,0,-3
2000 Ago 01,11:30,103,117,10.2,14.3,25.1,91,996.1,0,-3
2000 Ago 01,11:40,97,103,9.5,12.5,25.1,92,996.3,0,-3
2000 Ago 01,11:50,90,96,9.9,13.7,25,92,996.4,0,-3
2000 Ago 01,12:00,85,104,6.9,9.1,24.9,92,996.4,0,-2
2000 Ago 01,12:10,93,106,6.1,8.5,24.7,93,996.4,0,5
2000 Ago 01,12:20,99,128,7.7,10.2,24.8,93,996.4,0,20
2000 Ago 01,12:30,102,89,8.5,12.5,25.1,92,996.4,0,36
2000 Ago 01,12:40,95,97,7.5,10.8,25.4,90,996.5,0,63
2000 Ago 01,12:50,102,118,8.2,11.4,25.8,88,996.6,0,82
2000 Ago 01,13:00,114,117,8.5,12,26,87,996.6,0,118
2000 Ago 01,13:10,120,120,8.4,10.8,26.4,85,996.7,0,165
2000 Ago 01,13:30,156,176,9,12,27.1,83,996.8,0,204
2000 Ago 01,13:40,128,120,8.8,12,27.3,81,996.9,0,260
2000 Ago 01,13:50,152,148,8,10.8,27.7,79,996.9,0,285
2000 Ago 01,14:00,132,123,6.9,10.2,27.9,78,997,0,311
2000 Ago 01,14:10,139,162,6.7,10.2,28.4,76,997.1,0,351
2000 Ago 01,14:20,164,160,7.3,11.4,28.5,74,997.1,0,380
2000 Ago 01,14:30,139,124,7.5,10.2,28.7,74,997.2,0,416
2000 Ago 01,14:40,142,135,5.9,10.2,29.2,72,997.2,0,447
2000 Ago 01,14:50,142,136,6.9,9.1,29.5,68,997.2,0,486
2000 Ago 01,15:00,129,115,7,10.8,29.8,65,997.3,0,526
2000 Ago 01,15:10,127,135,8,11.4,30.1,62,997.4,0,564
2000 Ago 01,15:20,128,141,8.7,12.5,30.2,62,997.5,0,599
2000 Ago 01,15:30,151,120,7.6,11.4,30.4,60,997.5,0,630
2000 Ago 01,15:40,161,163,8.4,12.5,30.7,59,997.5,0,675
2000 Ago 01,15:50,168,164,6.9,12,31,57,997.5,0,689
2000 Ago 01,16:00,159,156,5.7,10.2,31.6,57,997.5,0,711
2000 Ago 01,16:10,161,208,9.1,12,31.7,56,997.5,0,748
2000 Ago 01,16:20,194,202,8.3,12.5,31.6,56,997.6,0,780
2000 Ago 01,16:30,183,158,10.9,14.3,31.6,57,997.7,0,803
2000 Ago 01,16:40,185,186,11.4,17.2,31.4,58,997.7,0,829
2000 Ago 01,16:50,173,164,11.3,13.7,31.5,57,997.7,0,865
2000 Ago 01,17:00,173,173,10.4,13.1,31.9,56,997.7,0,876
2000 Ago 01,17:10,174,211,10.5,14.3,32.4,55,997.6,0,880
2000 Ago 01,17:20,176,178,12.3,16.6,32.7,53,997.5,0,901
2000 Ago 01,17:30,154,161,13.1,18.3,32.7,52,997.4,0,928
2000 Ago 01,17:40,167,181,12.2,16.6,33.2,51,997.3,0,955
2000 Ago 01,17:50,163,159,13.4,18.3,33.3,49,997.3,0,958
2000 Ago 01,18:00,146,130,13.9,20,33.4,48,997.2,0,962
2000 Ago 01,18:10,147,149,12.2,18.9,33.9,46,997.1,0,972
2000 Ago 01,18:20,151,135,13.3,17.7,34.2,44,997,0,953
