nombre_estacion,fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:00,16,204,0,0,38.3,24,976.8,0,210
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:10,16,204,0,0,37.9,26,976.9,0,168
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:20,16,204,0,0,37.2,31,977.1,0,129
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:30,16,204,0,0,36.1,40,977.2,0,92
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:40,16,204,0,0,35.3,43,977.3,0,60
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 0:50,16,204,0,0,34.7,45,977.5,0,33
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:00,16,204,0,0,34.2,45,977.6,0,13
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:10,16,204,0,0,33.6,46,977.6,0,2
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:20,16,204,0,0,33.2,47,977.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:30,16,204,0,0,32.8,50,977.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:40,16,204,0,0,32.3,53,978,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 1:50,16,204,0,0,31.8,60,978.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 2:00,16,204,0,0,31.4,66,978.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 2:10,16,204,0,0,31.1,64,978.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 2:20,16,204,0,0,30.9,64,978.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 2:30,16,204,0,0,30.5,66,979,0,0
"PRESA EL CUCHILLO, NL (ECHA)",5/1/2010 2:40,16,204,0,0,30.2,69,979,0,0
