Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
1/1/2023 0:00,1/1/2023 6:00,190,162,0,0,18.3,85,996.5,0,0
1/1/2023 0:10,1/1/2023 6:10,133,164,0,0,18.1,85,996.4,0,0
1/1/2023 0:20,1/1/2023 6:20,178,85,0,0,18,86,996.3,0,0
1/1/2023 0:30,1/1/2023 6:30,174,171,0,0,17.8,85,996.2,0,0
1/1/2023 0:40,1/1/2023 6:40,198,195,0,1.9,17.7,86,996.1,0,0
1/1/2023 0:50,1/1/2023 6:50,208,193,0,2,17.6,87,996,0,0
1/1/2023 1:00,1/1/2023 7:00,195,197,0,0,17.6,87,996.1,0,0
1/1/2023 1:10,1/1/2023 7:10,230,192,0,0,17.6,88,996.1,0,0
1/1/2023 1:20,1/1/2023 7:20,215,212,0,0,17.4,88,996.1,0,0
1/1/2023 1:30,1/1/2023 7:30,215,239,0,0,17.3,88,996,0,0
1/1/2023 1:40,1/1/2023 7:40,213,217,0,0,17.2,89,996,0,0
1/1/2023 1:50,1/1/2023 7:50,223,209,0,0,17.1,89,995.9,0,0
1/1/2023 2:00,1/1/2023 8:00,214,235,0,0,17.1,89,995.9,0,0
1/1/2023 2:10,1/1/2023 8:10,226,217,0,0,17.1,89,995.9,0,0
1/1/2023 2:20,1/1/2023 8:20,207,206,0,0,16.9,89,995.9,0,0
1/1/2023 2:30,1/1/2023 8:30,158,158,0,0,16.9,90,995.8,0,0
1/1/2023 2:40,1/1/2023 8:40,146,182,0,0,16.9,90,995.7,0,0
1/1/2023 2:50,1/1/2023 8:50,142,141,0,0,16.8,91,995.6,0,0
1/1/2023 3:00,1/1/2023 9:00,151,135,0,0,16.8,92,995.5,0,0
1/1/2023 3:10,1/1/2023 9:10,164,195,0,1.9,16.7,94,995.4,0,0
1/1/2023 3:20,1/1/2023 9:20,173,142,0,0,16.6,95,995.4,0,0
1/1/2023 3:30,1/1/2023 9:30,184,202,0,0,16.5,95,995.3,0,0
1/1/2023 3:40,1/1/2023 9:40,202,188,0,0,16.3,95,995.2,0,0
1/1/2023 3:50,1/1/2023 9:50,232,215,0,0,16.2,96,995.3,0,0
1/1/2023 4:00,1/1/2023 10:00,231,239,0,0,16.1,96,995.4,0,0
1/1/2023 4:10,1/1/2023 10:10,245,262,0,0,15.9,97,995.4,0,0
1/1/2023 4:20,1/1/2023 10:20,231,266,0,0,15.5,96,995.3,0,0
1/1/2023 4:30,1/1/2023 10:30,221,247,0,0,15.3,96,995.3,0,0
1/1/2023 4:40,1/1/2023 10:40,185,220,0,0,15.4,98,995.3,0,0
1/1/2023 4:50,1/1/2023 10:50,180,137,0,0,15.7,100,995.3,0,0
1/1/2023 5:00,1/1/2023 11:00,198,96,0,0,15.7,100,995.4,0,0
1/1/2023 5:10,1/1/2023 11:10,153,168,0,0,15.7,100,995.4,0,0
1/1/2023 5:20,1/1/2023 11:20,230,184,0,0,15.4,97,995.4,0,0
1/1/2023 5:30,1/1/2023 11:30,228,240,0,0,15.2,94,995.4,0,0
1/1/2023 5:40,1/1/2023 11:40,242,217,0,0,15,92,995.5,0,0
1/1/2023 5:50,1/1/2023 11:50,237,267,0,0,14.6,90,995.5,0,0
1/1/2023 6:00,1/1/2023 12:00,226,206,0,0,14.5,90,995.4,0,0
1/1/2023 6:10,1/1/2023 12:10,190,184,0,3.7,14.7,91,995.5,0,0
1/1/2023 6:20,1/1/2023 12:20,212,178,0,0,14.8,90,995.6,0,0
1/1/2023 6:30,1/1/2023 12:30,168,221,0,0,14.8,89,995.7,0,0
1/1/2023 6:40,1/1/2023 12:40,161,132,0,0,14.8,89,995.8,0,0
1/1/2023 6:50,1/1/2023 12:50,207,174,0,0,14.9,88,996,0,0
1/1/2023 7:00,1/1/2023 13:00,198,183,0,0,14.7,87,996.1,0,0
1/1/2023 7:10,1/1/2023 13:10,187,193,0,0,14.5,87,996.1,0,0
1/1/2023 7:20,1/1/2023 13:20,191,136,0,0,14.3,87,996.2,0,0
1/1/2023 7:30,1/1/2023 13:30,184,190,0,0,14.1,88,996.3,0,3
1/1/2023 7:40,1/1/2023 13:40,173,171,0,0,13.9,88,996.3,0,14
1/1/2023 7:50,1/1/2023 13:50,198,189,0,0,13.9,89,996.4,0,34
1/1/2023 8:00,1/1/2023 14:00,220,241,0,2.4,14,90,996.5,0,60
1/1/2023 8:10,1/1/2023 14:10,211,207,0,0,14.2,90,996.6,0,88
1/1/2023 8:20,1/1/2023 14:20,211,217,0,0,14.4,90,996.8,0,118
1/1/2023 8:30,1/1/2023 14:30,223,209,0,0,14.5,89,996.9,0,143
1/1/2023 8:40,1/1/2023 14:40,219,207,0,0,14.7,86,997.1,0,171
1/1/2023 8:50,1/1/2023 14:50,207,206,0,0,14.9,84,997.2,0,206
1/1/2023 9:00,1/1/2023 15:00,199,198,0,0,15.2,83,997.2,0,239
1/1/2023 9:10,1/1/2023 15:10,170,192,0,0,15.6,82,997.3,0,269
1/1/2023 9:20,1/1/2023 15:20,210,35,0,0,16.2,81,997.3,0,295
1/1/2023 9:30,1/1/2023 15:30,199,208,0,3.1,16.7,80,997.4,0,320
1/1/2023 9:40,1/1/2023 15:40,212,207,0,0,17.3,78,997.5,0,346
1/1/2023 9:50,1/1/2023 15:50,194,192,0,0,17.9,75,997.5,0,372
1/1/2023 10:00,1/1/2023 16:00,168,194,0,0,18.5,73,997.6,0,395
1/1/2023 10:10,1/1/2023 16:10,162,254,0,0,19.2,72,997.5,0,420
1/1/2023 10:20,1/1/2023 16:20,222,169,0,0,20.4,69,997.4,0,448
1/1/2023 10:30,1/1/2023 16:30,233,228,0.1,4.7,21.5,64,997.3,0,480
1/1/2023 10:40,1/1/2023 16:40,215,240,0.3,6.7,22,64,997.3,0,510
1/1/2023 10:50,1/1/2023 16:50,204,230,0,0,22.5,63,997.2,0,541
1/1/2023 11:00,1/1/2023 17:00,179,191,0,0,22.6,62,997.1,0,575
1/1/2023 11:10,1/1/2023 17:10,155,197,0,0,22.8,62,996.9,0,606
1/1/2023 11:20,1/1/2023 17:20,149,118,0.2,9.2,23.1,62,996.8,0,635
1/1/2023 11:30,1/1/2023 17:30,151,133,0,1.8,23.4,61,996.6,0,655
1/1/2023 11:40,1/1/2023 17:40,133,160,0.3,10.7,23.1,61,996.5,0,666
1/1/2023 11:50,1/1/2023 17:50,154,155,0,0,23.4,59,996.4,0,670
1/1/2023 12:00,1/1/2023 18:00,156,152,0,0,23.7,58,996.1,0,671
1/1/2023 12:10,1/1/2023 18:10,151,174,0,0,24.2,58,995.9,0,671
1/1/2023 12:20,1/1/2023 18:20,148,173,0,0,24.7,57,995.6,0,672
1/1/2023 12:30,1/1/2023 18:30,152,112,0,0,25.3,56,995.4,0,673
1/1/2023 12:40,1/1/2023 18:40,154,129,0.1,6.7,25.9,54,995.2,0,672
1/1/2023 12:50,1/1/2023 18:50,136,165,0,0,26.3,53,995,0,673
1/1/2023 13:00,1/1/2023 19:00,133,105,0,0,26.7,52,994.7,0,675
1/1/2023 13:10,1/1/2023 19:10,150,185,0,0,27.2,50,994.5,0,675
1/1/2023 13:20,1/1/2023 19:20,157,178,0,1.8,27.3,49,994.3,0,675
1/1/2023 13:30,1/1/2023 19:30,159,153,0,0,27.6,48,994.1,0,672
1/1/2023 13:40,1/1/2023 19:40,155,156,0,0,27.8,47,993.9,0,664
1/1/2023 13:50,1/1/2023 19:50,157,158,0,0,28,47,993.7,0,651
1/1/2023 14:00,1/1/2023 20:00,153,156,0,0,28.3,46,993.6,0,636
1/1/2023 14:10,1/1/2023 20:10,153,143,0,0,28.7,45,993.5,0,619
1/1/2023 14:20,1/1/2023 20:20,157,169,0,0,29.2,44,993.3,0,598
1/1/2023 14:30,1/1/2023 20:30,155,158,0,0,29.3,43,993.3,0,574
1/1/2023 14:40,1/1/2023 20:40,163,213,0,0,29.6,42,993.1,0,549
1/1/2023 14:50,1/1/2023 20:50,154,173,0,0,29.9,41,993.1,0,523
1/1/2023 15:00,1/1/2023 21:00,164,173,0,0,29.7,41,992.9,0,492
1/1/2023 15:10,1/1/2023 21:10,176,177,0,0,29.9,41,992.8,0,453
1/1/2023 15:20,1/1/2023 21:20,169,182,0,0,29.7,41,992.8,0,414
1/1/2023 15:30,1/1/2023 21:30,151,149,0,0,29.6,41,992.6,0,379
1/1/2023 15:40,1/1/2023 21:40,137,131,0,0,29.6,42,992.6,0,346
1/1/2023 15:50,1/1/2023 21:50,132,139,0,0,29.7,42,992.5,0,322
1/1/2023 16:00,1/1/2023 22:00,128,122,0,0,29.6,42,992.5,0,300
1/1/2023 16:10,1/1/2023 22:10,123,127,0,0,29.7,41,992.5,0,281
1/1/2023 16:20,1/1/2023 22:20,125,116,0,0,29.8,41,992.5,0,260
1/1/2023 16:30,1/1/2023 22:30,138,118,0,0,29.7,42,992.5,0,233
1/1/2023 16:40,1/1/2023 22:40,147,148,0,0,29.4,42,992.6,0,202
1/1/2023 16:50,1/1/2023 22:50,147,133,0,0,29.3,42,992.7,0,170
1/1/2023 17:00,1/1/2023 23:00,144,137,0,0,29.3,42,992.7,0,140
1/1/2023 17:10,1/1/2023 23:10,150,152,0,0,29,43,992.8,0,103
1/1/2023 17:20,1/1/2023 23:20,138,126,0,0,28.6,44,992.7,0,67
1/1/2023 17:30,1/1/2023 23:30,144,139,0,0,28.1,45,992.7,0,54
1/1/2023 17:40,1/1/2023 23:40,143,149,0,0,27.8,45,992.6,0,35
1/1/2023 17:50,1/1/2023 23:50,146,136,0,0,27.5,45,992.6,0,12
1/1/2023 18:00,1/2/2023 0:00,156,144,0,0,27,47,992.6,0,2
1/1/2023 18:10,1/2/2023 0:10,163,164,0,0,26.4,48,992.6,0,0
1/1/2023 18:20,1/2/2023 0:20,153,159,0,0,26.1,48,992.7,0,0
1/1/2023 18:30,1/2/2023 0:30,143,151,0,0,26.1,48,992.7,0,0
1/1/2023 18:40,1/2/2023 0:40,141,141,0,0,26,48,992.8,0,0
1/1/2023 18:50,1/2/2023 0:50,133,139,0,0,26,48,992.9,0,0
1/1/2023 19:00,1/2/2023 1:00,119,141,0,0,25.9,49,993.1,0,0
1/1/2023 19:10,1/2/2023 1:10,118,119,0,0,25.8,49,993.2,0,0
1/1/2023 19:20,1/2/2023 1:20,125,127,0,0,25.8,50,993.2,0,0
1/1/2023 19:30,1/2/2023 1:30,132,140,0,0,25.9,51,993.3,0,0
1/1/2023 19:40,1/2/2023 1:40,134,135,0,0,25.7,53,993.4,0,0
1/1/2023 19:50,1/2/2023 1:50,123,140,0,0,25.3,54,993.4,0,0
1/1/2023 20:00,1/2/2023 2:00,113,114,0,0,24.8,56,993.5,0,0
1/1/2023 20:10,1/2/2023 2:10,110,111,0,0,24.3,57,993.6,0,0
1/1/2023 20:20,1/2/2023 2:20,118,110,0,0,23.9,60,993.7,0,0
1/1/2023 20:30,1/2/2023 2:30,115,116,0,0,23.5,61,993.8,0,0
1/1/2023 20:40,1/2/2023 2:40,119,115,0,0,23.3,62,993.9,0,0
1/1/2023 20:50,1/2/2023 2:50,121,114,0,0,23.1,63,994,0,0
1/1/2023 21:00,1/2/2023 3:00,114,123,0,0,23,64,993.9,0,0
1/1/2023 21:10,1/2/2023 3:10,109,113,0,0,22.9,66,993.8,0,0
1/1/2023 21:20,1/2/2023 3:20,115,101,0,0,22.9,68,993.8,0,0
1/1/2023 21:30,1/2/2023 3:30,118,119,0,0,22.7,70,993.7,0,0
1/1/2023 21:40,1/2/2023 3:40,119,115,0.2,10,22.5,72,993.6,0,0
1/1/2023 21:50,1/2/2023 3:50,125,154,0,0,22.4,75,993.5,0,0
1/1/2023 22:00,1/2/2023 4:00,136,142,0.2,10.4,22.2,77,993.5,0,0
1/1/2023 22:10,1/2/2023 4:10,131,139,0,0,22,79,993.6,0,0
1/1/2023 22:20,1/2/2023 4:20,131,127,0,0,21.8,80,993.5,0,0
1/1/2023 22:30,1/2/2023 4:30,128,144,0.1,6.9,21.6,82,993.5,0,0
1/1/2023 22:40,1/2/2023 4:40,128,141,0,0,21.4,83,993.5,0,0
1/1/2023 22:50,1/2/2023 4:50,125,127,0.1,8.7,21.2,85,993.5,0,0
1/1/2023 23:00,1/2/2023 5:00,126,125,0.2,10.8,21,86,993.4,0,0
1/1/2023 23:10,1/2/2023 5:10,132,121,0.1,12.4,20.9,87,993.4,0,0
1/1/2023 23:20,1/2/2023 5:20,132,124,0.1,5.9,20.7,88,993.3,0,0
1/1/2023 23:30,1/2/2023 5:30,129,136,0,0,20.5,89,993.4,0,0
1/1/2023 23:40,1/2/2023 5:40,122,114,0,0,20.4,90,993.2,0,0
1/1/2023 23:50,1/2/2023 5:50,138,113,0.1,6.7,20.2,91,993.1,0,0
1/2/2023 0:00,1/2/2023 6:00,118,123,0,0,20,91,992.9,0,0
1/2/2023 0:10,1/2/2023 6:10,117,103,0,0,19.9,92,992.7,0,0
1/2/2023 0:20,1/2/2023 6:20,123,132,0,0,19.8,94,992.4,0,0
1/2/2023 0:30,1/2/2023 6:30,116,123,0.3,13.3,19.6,95,991.9,0,0
1/2/2023 0:40,1/2/2023 6:40,130,114,0,0,19.6,97,991.9,0,0
1/2/2023 0:50,1/2/2023 6:50,121,128,2.3,21.9,19.7,98,991.7,0,0
1/2/2023 1:00,1/2/2023 7:00,115,126,0.7,22.7,19.8,98,991.3,0,0
1/2/2023 1:10,1/2/2023 7:10,130,128,0,2.7,19.8,98,991.7,0,0
1/2/2023 1:20,1/2/2023 7:20,238,178,0,0,19.6,97,992.3,0,0
1/2/2023 1:30,1/2/2023 7:30,147,154,0,0,19.4,98,992.1,0,0
1/2/2023 1:40,1/2/2023 7:40,148,160,0,0,19.3,100,991.8,0,0
1/2/2023 1:50,1/2/2023 7:50,136,79,0,0,19.1,99,991.8,0,0
1/2/2023 2:00,1/2/2023 8:00,95,191,0,0,18.9,100,991.6,0,0
1/2/2023 2:10,1/2/2023 8:10,116,91,0,0,18.8,100,991.5,0,0
1/2/2023 2:20,1/2/2023 8:20,112,112,0,0,18.7,100,991.4,0,0
1/2/2023 2:30,1/2/2023 8:30,122,117,0,0,18.7,100,991.4,0,0
1/2/2023 2:40,1/2/2023 8:40,137,157,0,0,18.8,100,991.3,0,0
