Date,Time,Dir,WSMDir,WSK,WSMK,AvgTemp,AvgRh,AvgBP,Rain,AvgSR
2003 Abr 01,0:00,101,90,17.8,24.1,23.9,36,1004.2,0,99
2003 Abr 01,0:10,101,102,19.1,27.5,23.9,37,1004.2,0,117
2003 Abr 01,0:20,100,101,21.6,29.2,23.9,36,1004.3,0,93
2003 Abr 01,0:30,103,112,22.3,29.2,23.6,38,1004.3,0,47
2003 Abr 01,0:40,101,102,23.6,31,23.4,36,1004.3,0,37
2003 Abr 01,0:50,102,92,22.1,30.4,23.3,36,1004.3,0,17
2003 Abr 01,1:00,103,112,24.9,33.3,23.1,36,1004.3,0,4
2003 Abr 01,1:10,98,105,29.3,40.8,22.6,45,1004.5,0,-3
2003 Abr 01,1:20,100,98,25.6,36.2,21.8,49,1004.7,0,-3
2003 Abr 01,1:30,100,105,29.7,39.6,21.4,49,1004.8,0,-3
2003 Abr 01,1:40,105,105,31.8,44.2,21.1,51,1004.9,0,-3
2003 Abr 01,1:50,101,105,31.8,43.6,20.8,50,1005,0,-3
2003 Abr 01,2:00,102,97,30.3,38.5,20.4,51,1005.1,0,-3
2003 Abr 01,2:10,102,105,30,39,20.1,52,1005.2,0,-3
2003 Abr 01,2:20,103,113,29.9,41.3,19.8,52,1005.3,0,-3
2003 Abr 01,2:30,103,106,32,40.8,19.6,53,1005.4,0,-3
2003 Abr 01,2:40,105,108,33.3,42.5,19.3,54,1005.4,0,-3
2003 Abr 01,2:50,105,110,33.8,41.3,19.2,55,1005.5,0,-3
2003 Abr 01,3:00,105,105,34.8,43.6,19,55,1005.7,0,-3
2003 Abr 01,3:10,104,97,33.4,43.1,18.9,55,1005.8,0,-3
2003 Abr 01,3:20,105,103,32.2,40.2,18.7,57,1005.8,0,-3
2003 Abr 01,3:30,105,94,33,41.3,18.6,57,1005.8,0,-3
2003 Abr 01,3:40,104,105,34,43.1,18.4,59,1005.8,0,-3
2003 Abr 01,3:50,105,112,33.8,45.4,18.3,60,1005.9,0,-3
2003 Abr 01,4:00,102,105,32.9,42.5,18.2,60,1005.9,0,-3
2003 Abr 01,4:10,106,96,31.9,42.5,18.1,59,1006,0,-3
2003 Abr 01,4:20,105,97,30.9,40.2,18,59,1006.1,0,-3
2003 Abr 01,4:30,104,114,29.5,37.3,17.8,58,1006,0,-3
2003 Abr 01,4:40,104,96,28.1,37.9,17.6,58,1006,0,-3
2003 Abr 01,4:50,103,98,28.2,35,17.4,58,1006,0,-3
2003 Abr 01,5:00,102,117,27,33.9,17.3,59,1005.9,0,-3
2003 Abr 01,5:10,105,108,28.2,36.7,17.1,59,1005.7,0,-3
2003 Abr 01,5:20,103,107,26.6,33.9,17,60,1005.9,0,-3
2003 Abr 01,5:30,103,112,26.6,35.6,16.9,61,1005.8,0,-3
2003 Abr 01,5:40,104,104,30.3,38.5,16.8,61,1005.6,0,-3
2003 Abr 01,5:50,106,95,31,37.9,16.6,61,1005.6,0,-3
2003 Abr 01,6:00,103,102,29.6,38.5,16.5,62,1005.6,0,-3
2003 Abr 01,6:10,105,108,27.9,35.6,16.4,63,1005.4,0,-3
2003 Abr 01,6:20,102,100,24.8,35,16.3,64,1005.3,0,-3
2003 Abr 01,6:30,103,100,24.5,33.3,16.2,64,1005.2,0,-3
2003 Abr 01,6:40,103,94,22.9,31,16.1,65,1005.1,0,-3
2003 Abr 01,6:50,105,102,23.1,31.6,16,65,1004.9,0,-3
2003 Abr 01,7:00,103,91,22,31.6,16,66,1004.9,0,-3
2003 Abr 01,7:10,100,96,22.7,31,15.9,65,1004.7,0,-3
2003 Abr 01,7:20,104,118,22.5,29.8,15.8,66,1004.6,0,-3
2003 Abr 01,7:30,106,101,22,29.2,15.8,67,1004.6,0,-3
2003 Abr 01,7:40,105,99,22.1,31.6,15.7,68,1004.5,0,-3
2003 Abr 01,7:50,106,105,21.7,29.2,15.7,68,1004.4,0,-3
2003 Abr 01,8:00,102,86,19.9,29.2,15.7,68,1004.4,0,-4
2003 Abr 01,8:10,105,112,19.1,26.4,15.6,68,1004.3,0,-4
2003 Abr 01,8:20,102,102,18.6,26.4,15.6,69,1004.2,0,-4
2003 Abr 01,8:30,112,105,15.7,24.1,15.5,68,1004.1,0,-4
2003 Abr 01,8:40,106,100,15.9,24.6,15.5,68,1003.9,0,-4
2003 Abr 01,8:50,106,102,14.4,23.5,15.4,69,1003.9,0,-4
2003 Abr 01,9:00,107,97,15.3,26.4,15.4,69,1003.9,0,-4
2003 Abr 01,9:10,103,105,13.1,23.5,15.3,69,1003.7,0,-4
2003 Abr 01,9:20,103,97,14.9,24.1,15.3,69,1003.6,0,-4
2003 Abr 01,9:30,104,111,14.7,22.9,15.3,70,1003.6,0,-4
2003 Abr 01,9:40,105,102,16,24.1,15.3,69,1003.4,0,-4
2003 Abr 01,9:50,106,97,16.4,25.2,15.2,69,1003.2,0,-4
2003 Abr 01,10:00,108,112,11.4,20,15.2,70,1003.2,0,-4
2003 Abr 01,10:10,122,117,7.1,24.6,15,71,1003.3,0,-4
2003 Abr 01,13:20,142,139,8,20,14.8,74,1003.7,0,140
2003 Abr 01,13:30,143,149,6.4,20,14.9,74,1003.9,0,164
2003 Abr 01,13:40,146,147,6.7,21.2,14.8,72,1003.9,0,161
2003 Abr 01,13:50,149,147,14.7,20.6,14.8,73,1004.1,0,190
2003 Abr 01,14:00,150,153,13.4,20.6,14.9,73,1004.2,0,271
2003 Abr 01,14:10,150,124,1.8,14.9,15.2,73,1004.3,0,309
2003 Abr 01,14:20,157,170,3.8,14.3,15.3,72,1004.4,0,272
2003 Abr 01,14:30,157,136,3.6,14.3,15.6,71,1004.6,0,422
2003 Abr 01,14:40,152,147,5.2,15.4,16.1,69,1004.7,0,409
2003 Abr 01,14:50,167,167,2.6,10.8,16.3,69,1004.7,0,415
2003 Abr 01,15:00,147,144,2.3,13.7,16.5,69,1004.7,0,495
2003 Abr 01,15:10,151,158,2.3,9.1,16.9,68,1004.8,0,591
2003 Abr 01,15:20,155,150,2,9.7,17.4,65,1004.9,0,607
2003 Abr 01,15:30,153,150,0,0,17.9,64,1004.8,0,635
2003 Abr 01,15:40,159,150,0,0,18.3,62,1004.8,0,666
2003 Abr 01,15:50,176,169,1.6,3.3,18.6,61,1004.8,0,719
2003 Abr 01,16:00,170,169,0,0,18.9,60,1004.8,0,734
2003 Abr 01,16:10,193,169,0,0,19,59,1004.7,0,755
2003 Abr 01,16:20,174,169,0,0,19.4,58,1004.7,0,797
2003 Abr 01,16:30,174,150,1.7,7.4,19.7,57,1004.5,0,831
2003 Abr 01,16:40,177,167,1.8,5.6,19.9,56,1004.5,0,844
2003 Abr 01,16:50,195,193,1.7,5.6,20,56,1004.5,0,883
2003 Abr 01,17:00,199,193,0,2.2,20.1,55,1004.3,0,904
2003 Abr 01,17:10,197,214,2,7.9,20.4,54,1004,0,874
2003 Abr 01,17:20,200,184,2.1,12,20.8,54,1004,0,929
2003 Abr 01,17:30,204,206,2.3,10.2,21.2,53,1003.8,0,964
2003 Abr 01,17:40,199,195,1.6,2.2,21.5,52,1003.5,0,918
2003 Abr 01,17:50,200,196,1.6,2.8,21.9,52,1003.3,0,925
2003 Abr 01,18:00,201,210,1.6,2.8,22.2,50,1003.1,0,914
2003 Abr 01,18:10,208,208,1.6,2.8,22.5,49,1002.9,0,944
2003 Abr 01,18:20,214,208,0,0,23.1,48,1002.7,0,920
2003 Abr 01,18:30,214,208,0,0,23.7,46,1002.6,0,967
2003 Abr 01,18:40,197,208,0,0,24.2,45,1002.4,0,1042
2003 Abr 01,18:50,195,208,0,0,24.5,44,1002.1,0,971
2003 Abr 01,19:00,188,208,0,0,24.9,42,1001.9,0,1017
2003 Abr 01,19:10,193,208,0,0,25,42,1001.7,0,918
2003 Abr 01,19:20,170,157,1.6,2.2,25.4,41,1001.4,0,922
2003 Abr 01,19:30,171,157,0,0,25.7,43,1001.3,0,922
2003 Abr 01,19:40,156,157,0,0,26,44,1001,0,926
2003 Abr 01,19:50,147,157,0,0,26,42,1000.8,0,763
2003 Abr 01,20:00,163,157,0,0,26.2,40,1000.5,0,817
2003 Abr 01,20:10,170,157,0,0,26.7,37,1000.3,0,860
2003 Abr 01,20:20,180,157,0,0,26.9,39,1000.2,0,912
2003 Abr 01,20:30,166,157,0,0,27,38,1000,0,750
2003 Abr 01,20:40,162,157,0,0,26.9,36,999.8,0,859
2003 Abr 01,20:50,177,157,0,0,27.4,35,999.6,0,836
2003 Abr 01,21:00,169,157,0,0,27.7,34,999.4,0,747
2003 Abr 01,21:10,158,157,0,0,28.1,33,999.3,0,657
2003 Abr 01,21:20,176,157,0,0,28.4,33,999.1,0,639
2003 Abr 01,21:30,129,157,0,0,28.4,33,998.9,0,714
2003 Abr 01,21:40,124,157,0,0,28.8,32,998.8,0,642
2003 Abr 01,21:50,173,157,0,0,28.9,32,998.7,0,632
2003 Abr 01,22:00,142,157,0,0,28.9,32,998.5,0,490
2003 Abr 01,22:10,150,157,0,0,28.9,32,998.4,0,509
2003 Abr 01,22:20,119,96,2.1,10.8,28.6,34,998.4,0,512
2003 Abr 01,22:30,115,96,0,0,28.7,35,998.2,0,551
2003 Abr 01,22:40,114,93,2.3,15.4,28.7,37,998.2,0,274
2003 Abr 01,22:50,117,90,2.6,9.7,27.8,44,998.2,0,371
2003 Abr 01,23:00,104,103,4.6,13.7,27.7,40,998.2,0,487
2003 Abr 01,23:10,102,92,5.6,19.5,27.9,40,998.1,0,391
2003 Abr 01,23:20,103,93,9.5,17.2,27.4,45,998.2,0,285
2003 Abr 01,23:30,105,101,14.3,20.6,26.8,43,998.2,0,157
2003 Abr 01,23:40,102,104,17.7,29.8,26.7,41,998.1,0,177
2003 Abr 01,23:50,103,100,18.1,23.5,26.7,42,998.2,0,195
