Date,Time,Dir,WSMDir,WSK,WSMK,AvgTemp,AvgRh,AvgBP,Rain,AvgSR
2001 Dic 01,0:00,280,295,1.9,2.8,19.8,61,997.4,0,-2
2001 Dic 01,0:10,328,347,1.7,2.8,19.6,62,997.5,0,-3
2001 Dic 01,0:20,288,299,3.6,5.1,19.4,62,997.6,0,-3
2001 Dic 01,0:30,325,274,3.2,5.1,19.3,63,997.7,0,-3
2001 Dic 01,0:40,9,37,3.8,9.7,19,65,997.9,0,-2
2001 Dic 01,0:50,332,37,0,0,18.8,65,998,0,-2
2001 Dic 01,1:00,1,37,0,0,18.7,66,998.1,0,-2
2001 Dic 01,1:10,65,52,2.3,9.7,18.8,66,998.2,0,-2
2001 Dic 01,1:20,42,34,9.5,13.1,19,66,998.4,0,-1
2001 Dic 01,1:30,54,64,8.7,12,19,67,998.6,0,-2
2001 Dic 01,1:40,71,75,11.3,16,19.2,69,998.7,0,-2
2001 Dic 01,1:50,75,84,12.1,16.6,19.2,70,998.8,0,-2
2001 Dic 01,2:00,73,72,12.5,19.5,19,71,998.9,0,-2
2001 Dic 01,2:10,73,70,13.9,18.3,18.9,71,998.9,0,-2
2001 Dic 01,2:20,69,71,12.9,18.3,18.8,71,999,0,-2
2001 Dic 01,2:30,71,57,11.9,15.4,18.7,72,999.1,0,-2
2001 Dic 01,2:40,72,63,11,14.3,18.5,73,999.3,0,-2
2001 Dic 01,2:50,72,70,10.2,13.7,18.3,75,999.3,0,-3
2001 Dic 01,3:00,77,77,11.1,16,18.1,76,999.3,0,-3
2001 Dic 01,3:10,78,81,10.9,14.9,17.9,77,999.4,0,-3
2001 Dic 01,3:20,72,72,10.2,13.1,17.7,79,999.4,0,-4
2001 Dic 01,3:30,69,75,8.8,13.1,17.5,81,999.5,0,-4
2001 Dic 01,3:40,66,65,8.9,13.1,17.4,82,999.5,0,-4
2001 Dic 01,3:50,70,69,9.4,13.1,17.3,83,999.6,0,-4
2001 Dic 01,4:00,69,75,10.7,13.7,17.2,84,999.7,0,-3
2001 Dic 01,4:10,72,81,10.3,13.1,17.2,84,999.7,0,-3
2001 Dic 01,4:20,55,69,7.9,10.2,17.1,83,999.7,0,-2
2001 Dic 01,4:30,5,23,6.6,9.1,16.5,83,999.7,0,-2
2001 Dic 01,4:40,29,41,6.4,8.5,16.2,86,999.7,0,-3
2001 Dic 01,4:50,38,29,7.5,10.2,16,86,999.6,0,-3
2001 Dic 01,5:00,45,49,5.6,7.4,15.7,88,999.5,0,-4
2001 Dic 01,5:10,37,28,4.6,6.8,15.5,90,999.5,0,-4
2001 Dic 01,5:20,13,41,5.1,7.9,15.4,90,999.5,0,-4
2001 Dic 01,5:30,327,305,4.3,6.8,15.2,90,999.5,0,-4
2001 Dic 01,5:40,304,254,6.3,12,15,92,999.5,0,-4
2001 Dic 01,5:50,272,244,10.9,14.3,14.9,92,999.6,0,-3
2001 Dic 01,6:00,324,262,4.9,7.4,15.1,92,999.6,0,-3
2001 Dic 01,6:10,276,259,6.2,7.9,14.8,92,999.6,0,-3
2001 Dic 01,6:20,325,315,4.4,6.8,14.6,93,999.5,0,-4
2001 Dic 01,6:30,5,353,2.5,4.5,14.5,95,999.5,0,-3
2001 Dic 01,6:40,322,323,3.2,7.4,14.3,94,999.5,0,-4
2001 Dic 01,6:50,337,354,6.3,8.5,14,95,999.4,0,-3
2001 Dic 01,7:00,325,331,5.9,7.9,13.9,96,999.3,0,-3
2001 Dic 01,7:10,303,294,6.8,8.5,13.8,97,999.4,0,-3
2001 Dic 01,7:20,295,299,7.5,9.1,13.9,98,999.4,0,-2
2001 Dic 01,7:30,284,287,7.4,10.2,14.1,97,999.6,0,-1
2001 Dic 01,7:40,290,282,9.9,13.7,14.4,96,999.5,0,-1
2001 Dic 01,7:50,294,283,10,12.5,14.6,94,999.5,0,-1
2001 Dic 01,8:00,303,297,9.2,13.1,14.7,94,999.4,0,-1
2001 Dic 01,8:10,315,300,7.8,12,14.7,94,999.4,0,-1
2001 Dic 01,8:20,320,343,7.9,10.2,14.8,94,999.3,0,-1
2001 Dic 01,8:30,314,314,7.5,10.8,14.8,94,999.3,0,-1
2001 Dic 01,8:40,326,327,7.3,9.7,14.9,94,999.1,0,-1
2001 Dic 01,8:50,328,327,8.8,11.4,15,94,998.9,0,-1
2001 Dic 01,9:00,321,337,8.4,11.4,15.1,95,998.9,0,-1
2001 Dic 01,9:10,326,327,8.4,12.5,15.2,94,998.8,0,-1
2001 Dic 01,9:20,336,336,9.9,13.7,15.2,96,998.8,0,-1
2001 Dic 01,9:30,354,339,9.6,15.4,15.2,98,998.8,0,-1
2001 Dic 01,9:40,339,339,11.2,14.9,15.1,100,998.7,0,-1
2001 Dic 01,9:50,340,349,11.3,14.9,15,100,998.8,0,-1
2001 Dic 01,10:00,337,355,10.4,14.3,15,100,998.7,0,-1
2001 Dic 01,10:10,328,349,8.3,11.4,15,100,998.7,0,-1
2001 Dic 01,10:20,320,307,8.8,12,15,100,998.5,0,-1
2001 Dic 01,10:30,326,321,5.5,9.1,15.1,100,998.4,0,-2
2001 Dic 01,10:40,314,301,6.8,9.1,15.2,100,998.6,0,-1
2001 Dic 01,10:50,325,3,6.2,7.9,15.3,99,998.6,0,-1
2001 Dic 01,11:00,336,0,6.3,8.5,15.4,99,998.5,0,-1
2001 Dic 01,11:10,325,324,5.7,7.4,15.5,98,998.5,0,-1
2001 Dic 01,11:20,332,320,4.6,7.4,15.6,98,998.6,0,-1
2001 Dic 01,11:30,308,298,5.7,9.1,15.7,98,998.8,0,-1
2001 Dic 01,11:40,302,291,7.3,9.1,15.7,97,998.7,0,-1
2001 Dic 01,11:50,319,306,6.5,10.2,15.7,97,998.7,0,-1
2001 Dic 01,12:00,317,313,7.1,9.7,15.7,97,998.6,0,-1
2001 Dic 01,12:10,312,312,7.5,10.2,15.8,97,998.7,0,-1
2001 Dic 01,12:20,306,311,7.7,10.8,15.7,97,998.8,0,-1
2001 Dic 01,12:30,306,302,8.4,11.4,15.7,98,998.8,0,-1
2001 Dic 01,12:40,303,307,9.5,11.4,15.6,98,999.1,0,-1
2001 Dic 01,12:50,297,291,9.1,12.5,15.6,99,999.2,0,-1
2001 Dic 01,13:00,297,316,8.3,11.4,15.6,99,999.3,0,-1
2001 Dic 01,13:10,301,292,8.6,12.5,15.6,99,999.4,0,-1
2001 Dic 01,13:20,304,282,7.5,9.7,15.6,100,999.5,0,1
2001 Dic 01,13:30,311,315,6.7,9.7,15.5,100,999.5,0,1
2001 Dic 01,13:40,327,326,6.3,9.1,15.5,100,999.5,0,5
2001 Dic 01,13:50,302,301,6,7.9,15.5,100,999.7,0,10
2001 Dic 01,14:00,307,298,3.6,5.1,15.5,100,999.7,0,12
2001 Dic 01,14:10,347,348,5.1,7.9,15.6,100,999.7,0,31
2001 Dic 01,14:20,345,345,4.9,7.4,15.6,100,999.7,0,27
2001 Dic 01,14:30,317,314,4,6.2,15.6,100,999.9,0,20
2001 Dic 01,14:40,304,303,7,10.2,15.6,100,1000.2,0,20
