nombre_estacion,fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:00,16,204,0,0,13.5,59,1001.5,0,7
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:10,16,204,0,0,13.5,59,1001.5,0,2
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:20,16,204,0,0,13.4,59,1001.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:30,16,204,0,0,13.3,60,1001.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:40,16,204,0,0,13.3,60,1002,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 0:50,16,204,0,0,13.2,60,1001.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:00,16,204,0,0,13.2,60,1002,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:10,16,204,0,0,13.1,60,1002.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:20,16,204,0,0,13.1,61,1002.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:30,16,204,0,0,13.1,61,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:40,16,204,0,0,13.1,62,1002.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 1:50,16,204,0,0,12.9,64,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:00,16,204,0,0,12.9,63,1002.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:10,16,204,0,0,12.6,68,1002.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:20,16,204,0,0,12.2,73,1002.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:30,16,204,0,0,11.9,78,1002.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:40,16,204,0,0,11.5,81,1002.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 2:50,16,204,0,0,11.2,82,1002.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:00,16,204,0,0,11.2,81,1002.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:10,16,204,0,0,11.5,78,1002.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:20,16,204,0,0,11.6,79,1002.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:30,16,204,0,0,11.6,82,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:40,16,204,0,0,11.3,87,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 3:50,16,204,0,0,11,91,1002.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:00,16,204,0,0,10.8,94,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:10,16,204,0,0,10.7,95,1002.3,0.25,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:20,16,204,0,0,10.6,96,1002.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:30,16,204,0,0,10.5,97,1002.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:40,16,204,0,0,10.4,97,1002.3,0.25,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 4:50,16,204,0,0,10.3,97,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:00,16,204,0,0,10.4,98,1002.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:10,16,204,0,0,10.4,98,1002.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:20,16,204,0,0,10.4,98,1002.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:30,16,204,0,0,10.4,97,1002.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:40,16,204,0,0,10.4,98,1002.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 5:50,16,204,0,0,10.3,98,1002.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",2/1/2010 6:00,16,204,0,0,10.3,98,1002.2,0,0
