Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
3/1/2023 0:00,3/1/2023 6:00,147,152,0,0,23.3,82,990,0,0
3/1/2023 0:10,3/1/2023 6:10,145,180,0,0,23.3,82,989.9,0,0
3/1/2023 0:20,3/1/2023 6:20,124,142,0,0,23.2,82,989.8,0,0
3/1/2023 0:30,3/1/2023 6:30,179,97,0,0,23.1,83,989.8,0,0
3/1/2023 0:40,3/1/2023 6:40,133,140,0,0,23,84,989.4,0,0
3/1/2023 0:50,3/1/2023 6:50,132,106,0,0,22.9,84,989.3,0,0
3/1/2023 1:00,3/1/2023 7:00,116,98,0,0,22.9,84,989.5,0,0
3/1/2023 1:10,3/1/2023 7:10,147,113,0,0,22.9,84,989.7,0,0
3/1/2023 1:20,3/1/2023 7:20,135,152,0,0,22.9,85,989.5,0,0
3/1/2023 1:30,3/1/2023 7:30,63,103,0,0,22.8,85,989.3,0,0
3/1/2023 1:40,3/1/2023 7:40,353,349,0,0,22.7,85,989.5,0,0
3/1/2023 1:50,3/1/2023 7:50,318,322,0,0,22.5,85,989.7,0,0
3/1/2023 2:00,3/1/2023 8:00,321,311,0,0,22.2,85,989.7,0,0
3/1/2023 2:10,3/1/2023 8:10,345,331,0,0,22.1,86,989.7,0,0
3/1/2023 2:20,3/1/2023 8:20,346,335,0,0,22,86,989.6,0,0
3/1/2023 2:30,3/1/2023 8:30,353,335,0,0,21.8,86,989.6,0,0
3/1/2023 2:40,3/1/2023 8:40,354,7,0,0,21.6,87,989.7,0,0
3/1/2023 2:50,3/1/2023 8:50,355,347,0,0,21.5,87,989.6,0,0
3/1/2023 3:00,3/1/2023 9:00,32,355,0,0,21.4,87,989.4,0,0
3/1/2023 3:10,3/1/2023 9:10,18,78,0,0,21.3,88,989.5,0,0
3/1/2023 3:20,3/1/2023 9:20,10,8,0,0,21.2,88,989.6,0,0
3/1/2023 3:30,3/1/2023 9:30,17,355,0,0,21.1,89,989.5,0,0
3/1/2023 3:40,3/1/2023 9:40,53,28,0,0,21.1,90,989.4,0,0
3/1/2023 3:50,3/1/2023 9:50,40,50,0,0,21.1,90,989.5,0,0
3/1/2023 4:00,3/1/2023 10:00,44,17,0,0,21,91,989.6,0,0
3/1/2023 4:10,3/1/2023 10:10,53,36,0,0,21,91,989.6,0,0
3/1/2023 4:20,3/1/2023 10:20,50,59,0,0,20.9,92,989.5,0,0
3/1/2023 4:30,3/1/2023 10:30,48,64,0,0,20.8,92,989.2,0,0
3/1/2023 4:40,3/1/2023 10:40,38,18,0,0,20.7,92,989.4,0,0
3/1/2023 4:50,3/1/2023 10:50,349,355,0,0,20.6,93,989.6,0,0
3/1/2023 5:00,3/1/2023 11:00,333,346,0,0,20.5,93,989.8,0,0
3/1/2023 5:10,3/1/2023 11:10,306,318,0,0,20.4,93,989.9,0,0
3/1/2023 5:20,3/1/2023 11:20,344,327,0,0,20.4,94,990,0,0
3/1/2023 5:30,3/1/2023 11:30,360,3,0,0,20.3,94,990.1,0,0
3/1/2023 5:40,3/1/2023 11:40,51,61,0,0,20.3,95,990.1,0,0
3/1/2023 5:50,3/1/2023 11:50,62,69,0,0,20.3,95,989.9,0,0
3/1/2023 6:00,3/1/2023 12:00,68,52,0,0,20.3,95,990,0,0
3/1/2023 6:10,3/1/2023 12:10,80,74,0,0,20.1,96,989.9,0,0
3/1/2023 6:20,3/1/2023 12:20,52,80,0,0,20,97,990.1,0,0
3/1/2023 6:30,3/1/2023 12:30,26,38,0,0,19.9,97,990.1,0,0
3/1/2023 6:40,3/1/2023 12:40,351,352,0,0,19.7,97,990.3,0,0
3/1/2023 6:50,3/1/2023 12:50,351,351,0,0,19.7,98,990.3,0,0
3/1/2023 7:00,3/1/2023 13:00,351,351,0,0,19.8,99,990.3,0,1
3/1/2023 7:10,3/1/2023 13:10,351,352,0,0,19.9,100,990.4,0,6
3/1/2023 7:20,3/1/2023 13:20,351,351,0,0,19.9,99,990.4,0,16
3/1/2023 7:30,3/1/2023 13:30,336,350,0,0,20.1,100,990.4,0,30
3/1/2023 7:40,3/1/2023 13:40,137,291,0,0,20.4,100,990.4,0,52
3/1/2023 7:50,3/1/2023 13:50,132,121,0,0,20.7,100,990.5,0,82
3/1/2023 8:00,3/1/2023 14:00,143,132,0,0,20.9,100,990.7,0,101
3/1/2023 8:10,3/1/2023 14:10,166,157,0,0,21.1,100,990.6,0,124
3/1/2023 8:20,3/1/2023 14:20,175,181,0,0,21.3,100,990.7,0,160
3/1/2023 8:30,3/1/2023 14:30,169,193,0,0,21.5,99,990.8,0,195
3/1/2023 8:40,3/1/2023 14:40,176,153,0,0,21.8,97,991,0,226
3/1/2023 8:50,3/1/2023 14:50,167,196,0,0,21.9,95,991,0,261
3/1/2023 9:00,3/1/2023 15:00,160,157,0,0,22,93,990.9,0,294
3/1/2023 9:10,3/1/2023 15:10,160,177,0,0,22.1,93,991,0,328
3/1/2023 9:20,3/1/2023 15:20,160,185,0,0,22.5,92,991.1,0,359
3/1/2023 9:30,3/1/2023 15:30,165,123,0,0,23,88,991.1,0,398
3/1/2023 9:40,3/1/2023 15:40,185,179,0,0,23.4,85,991,0,441
3/1/2023 9:50,3/1/2023 15:50,201,144,0,0,23.9,81,990.9,0,488
3/1/2023 10:00,3/1/2023 16:00,230,256,0,0,24.3,78,990.8,0,533
3/1/2023 10:10,3/1/2023 16:10,206,207,0,0,24.9,76,990.8,0,576
3/1/2023 10:20,3/1/2023 16:20,228,1,0,0,25.2,73,990.8,0,616
3/1/2023 10:30,3/1/2023 16:30,216,262,0,0,25.6,71,990.9,0,648
3/1/2023 10:40,3/1/2023 16:40,216,218,0,0,26.2,69,990.8,0,679
3/1/2023 10:50,3/1/2023 16:50,195,184,0,0,26.6,67,990.8,0,708
3/1/2023 11:00,3/1/2023 17:00,166,161,0,0,26.7,67,990.8,0,735
3/1/2023 11:10,3/1/2023 17:10,155,146,0,0,26.9,66,990.7,0,759
3/1/2023 11:20,3/1/2023 17:20,160,140,0,0,27.2,65,990.6,0,788
3/1/2023 11:30,3/1/2023 17:30,159,148,0,0,27.5,64,990.5,0,810
3/1/2023 11:40,3/1/2023 17:40,149,157,0,0,27.9,62,990.3,0,827
3/1/2023 11:50,3/1/2023 17:50,141,149,0,0,28.2,61,990.1,0,844
3/1/2023 12:00,3/1/2023 18:00,142,128,0,0,28.9,58,989.8,0,863
3/1/2023 12:10,3/1/2023 18:10,150,145,0,0,29.6,55,989.5,0,883
