nombre_estacion,fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:00,16,204,0,0,28.2,60,992.5,0,145
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:10,16,204,0,0,27.7,62,992.5,0,111
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:20,16,204,0,0,27.3,63,992.6,0,78
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:30,16,204,0,0,26.8,64,992.7,0,48
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:40,16,204,0,0,26.3,66,992.8,0,23
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 0:50,16,204,0,0,25.9,66,992.9,0,8
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:00,16,204,0,0,25.6,67,993.1,0,1
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:10,16,204,0,0,25.1,68,993.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:20,16,204,0,0,25,68,993.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:30,16,204,0,0,24.7,68,993.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:40,16,204,0,0,24.3,69,993.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 1:50,16,204,0,0,23.9,71,993.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:00,16,204,0,0,23.6,72,993.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:10,16,204,0,0,23.1,74,993.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:20,16,204,0,0,22.7,76,994.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:30,16,204,0,0,22.4,78,994.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:40,16,204,0,0,22.1,79,994.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 2:50,16,204,0,0,22,80,994.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:00,16,204,0,0,21.9,80,994.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:10,16,204,0,0,21.7,81,994.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:20,16,204,0,0,21.5,81,994.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:30,16,204,0,0,21.3,83,994.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:40,16,204,0,0,21.2,83,994.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 3:50,16,204,0,0,21.1,84,995,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:00,16,204,0,0,20.9,84,995.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:10,16,204,0,0,20.8,85,995.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:20,16,204,0,0,20.6,86,995.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:30,16,204,0,0,20.5,87,995.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:40,16,204,0,0,20.4,87,995.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 4:50,16,204,0,0,20.3,88,995.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:00,16,204,0,0,20.2,88,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:10,16,204,0,0,20.2,89,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:20,16,204,0,0,20.1,89,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:30,16,204,0,0,20.1,89,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:40,16,204,0,0,20,89,995.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 5:50,16,204,0,0,20,90,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:00,16,204,0,0,20,90,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:10,16,204,0,0,19.9,90,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:20,16,204,0,0,19.9,90,995.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:30,16,204,0,0,19.9,91,995.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:40,16,204,0,0,19.8,91,995.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 6:50,16,204,0,0,19.7,91,995.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 7:00,16,204,0,0,19.7,91,995.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 7:10,16,204,0,0,19.7,91,995.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 7:20,16,204,0,0,19.7,91,995.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",4/1/2010 7:30,16,204,0,0,19.6,91,995.4,0,0
