Date,Time,Dir,WSMDir,WSK,WSMK,AvgTemp,AvgRh,AvgBP,Rain,AvgSR
 , ,deg,deg,kph,kph,C,%,mbar,mm,W/m^2
2008 jun 01,0:00,138,204,0,0,35.1,48,992.7,0,246
2008 jun 01,0:10,131,204,0,0,35,49,992.7,0,208
2008 jun 01,0:20,133,204,0,0,34.8,48,992.8,0,175
2008 jun 01,0:30,133,204,0,0,34.6,50,992.9,0,139
2008 jun 01,0:40,120,204,0,0,34.4,49,993.1,0,106
2008 jun 01,0:50,117,204,0,0,33.8,51,993.2,0,73
2008 jun 01,1:00,124,204,0,0,33.4,53,993.4,0,42
2008 jun 01,1:10,125,204,0,0,33,54,993.6,0,17
2008 jun 01,1:20,124,204,0,0,32.6,55,993.7,0,8
2008 jun 01,1:30,125,204,0,0,32.2,56,993.8,0,2
2008 jun 01,1:40,125,204,0,0,31.9,56,994,0,-1
2008 jun 01,1:50,125,204,0,0,31.6,56,994.2,0,-2
2008 jun 01,2:00,126,204,0,0,31.2,58,994.4,0,-3
2008 jun 01,2:10,126,204,0,0,30.9,60,994.6,0,-3
2008 jun 01,2:20,127,204,0,0,30.5,62,994.8,0,-3
2008 jun 01,2:30,126,204,0,0,30,64,995.1,0,-2
2008 jun 01,2:40,127,204,0,0,29.6,67,995.2,0,-3
2008 jun 01,2:50,129,204,0,0,29.3,69,995.4,0,-3
2008 jun 01,3:00,130,204,0,0,28.9,71,995.7,0,-2
2008 jun 01,3:10,128,204,0,0,28.6,73,995.8,0,-2
2008 jun 01,3:20,130,204,0,0,28.3,74,995.9,0,-3
2008 jun 01,3:30,136,204,0,0,28.1,75,996.1,0,-3
2008 jun 01,3:40,138,204,0,0,28,75,996.3,0,-3
2008 jun 01,3:50,140,204,0,0,27.8,76,996.5,0,-2
2008 jun 01,4:00,136,204,0,0,27.7,77,996.6,0,-3
2008 jun 01,4:10,140,204,0,0,27.5,79,996.7,0,-2
2008 jun 01,4:20,137,204,0,0,27.3,80,996.7,0,-2
2008 jun 01,4:30,136,204,0,0,27.1,81,996.8,0,-2
2008 jun 01,4:40,136,204,0,0,27,81,996.8,0,-2
2008 jun 01,4:50,135,204,0,0,26.9,82,996.7,0,-2
2008 jun 01,5:00,135,204,0,0,26.7,83,996.6,0,-2
2008 jun 01,5:10,136,204,0,0,26.6,84,996.7,0,-2
2008 jun 01,5:20,136,204,0,0,26.5,85,996.7,0,-2
2008 jun 01,5:30,138,204,0,0,26.4,85,996.6,0,-3
2008 jun 01,5:40,141,204,0,0,26.3,85,996.6,0,-2
2008 jun 01,5:50,149,204,0,0,26.3,86,996.7,0,-3
2008 jun 01,6:00,148,204,0,0,26.3,85,996.7,0,-2
2008 jun 01,6:10,143,204,0,0,26.2,86,996.6,0,-2
2008 jun 01,6:20,145,204,0,0,26.2,86,996.5,0,-2
2008 jun 01,6:30,144,204,0,0,26.1,85,996.4,0,-2
2008 jun 01,6:40,147,204,0,0,26.1,85,996.3,0,-2
2008 jun 01,6:50,147,204,0,0,26.1,85,996.3,0,-2
2008 jun 01,7:00,147,204,0,0,26.1,85,996.2,0,-3
2008 jun 01,7:10,146,204,0,0,26,85,996.2,0,-2
2008 jun 01,7:20,146,204,0,0,25.9,85,996.1,0,-2
2008 jun 01,7:30,149,204,0,0,25.8,86,996,0,-2
2008 jun 01,7:40,148,204,0,0,25.8,86,996,0,-3
2008 jun 01,7:50,151,204,0,0,25.7,87,995.9,0,-3
2008 jun 01,8:00,154,204,0,0,25.6,87,995.8,0,-3
2008 jun 01,8:10,152,204,0,0,25.5,87,995.6,0,-3
2008 jun 01,8:20,145,204,0,0,25.5,88,995.4,0,-3
2008 jun 01,8:30,146,204,0,0,25.4,88,995.5,0,-3
2008 jun 01,8:40,142,204,0,0,25.3,89,995.3,0,-3
2008 jun 01,8:50,142,204,0,0,25.2,89,995.2,0,-3
2008 jun 01,9:00,144,204,0,0,25.1,89,995.1,0,-3
2008 jun 01,9:10,148,204,0,0,25.1,90,995,0,-3
2008 jun 01,9:20,142,204,0,0,25,90,995,0,-3
2008 jun 01,9:30,142,204,0,0,24.9,90,994.9,0,-3
2008 jun 01,9:40,142,204,0,0,24.9,90,994.9,0,-3
2008 jun 01,9:50,141,204,0,0,24.8,90,994.9,0,-3
2008 jun 01,10:00,145,204,0,0,24.7,91,994.9,0,-3
2008 jun 01,10:10,146,204,0,0,24.6,91,995,0,-3
2008 jun 01,10:20,146,204,0,0,24.6,91,995,0,-3
2008 jun 01,10:30,143,204,0,0,24.5,91,995,0,-3
2008 jun 01,10:40,148,204,0,0,24.5,91,994.9,0,-3
2008 jun 01,10:50,140,204,0,0,24.5,91,995,0,-3
2008 jun 01,11:00,144,204,0,0,24.4,91,995,0,-3
2008 jun 01,11:10,144,204,0,0,24.4,90,995,0,-3
2008 jun 01,11:20,141,204,0,0,24.4,90,995,0,-3
2008 jun 01,11:30,142,204,0,0,24.4,90,995.1,0,-3
2008 jun 01,11:40,140,204,0,0,24.3,90,995.3,0,-1
2008 jun 01,11:50,143,204,0,0,24.3,90,995.4,0,3
2008 jun 01,12:00,143,204,0,0,24.3,90,995.5,0,15
2008 jun 01,12:10,145,204,0,0,24.4,89,995.6,0,35
2008 jun 01,12:20,146,204,0,0,24.5,88,995.8,0,59
2008 jun 01,12:30,147,204,0,0,24.6,88,995.8,0,85
2008 jun 01,12:40,140,204,0,0,24.7,87,995.9,0,115
2008 jun 01,12:50,139,204,0,0,24.8,87,995.9,0,144
2008 jun 01,13:00,146,204,0,0,24.9,87,996.1,0,179
2008 jun 01,13:10,147,204,0,0,25.2,86,996.2,0,217
2008 jun 01,13:20,154,204,0,0,25.5,84,996.3,0,258
2008 jun 01,13:30,153,204,0,0,25.7,82,996.5,0,299
2008 jun 01,13:40,154,204,0,0,26,81,996.5,0,339
2008 jun 01,13:50,165,204,0,0,26.4,79,996.5,0,378
2008 jun 01,14:00,158,204,0,0,26.7,77,996.5,0,416
2008 jun 01,14:10,154,204,0,0,26.9,76,996.5,0,455
2008 jun 01,14:20,159,204,0,0,27.3,74,996.5,0,494
2008 jun 01,14:30,169,204,0,0,27.7,71,996.5,0,531
2008 jun 01,14:40,169,204,0,0,27.9,71,996.6,0,567
2008 jun 01,14:50,170,204,0,0,28.2,69,996.6,0,601
2008 jun 01,15:00,173,204,0,0,28.3,68,996.6,0,635
2008 jun 01,15:10,170,204,0,0,28.5,66,996.5,0,669
2008 jun 01,15:20,170,204,0,0,28.8,65,996.5,0,698
2008 jun 01,15:30,172,204,0,0,29.1,64,996.4,0,734
2008 jun 01,15:40,174,204,0,0,29.3,63,996.3,0,766
2008 jun 01,15:50,178,204,0,0,29.7,63,996.3,0,793
2008 jun 01,16:00,175,204,0,0,29.9,61,996.3,0,820
2008 jun 01,16:10,174,204,0,0,30.2,59,996.3,0,846
2008 jun 01,16:20,173,204,0,0,30.4,59,996.3,0,871
2008 jun 01,16:30,176,204,0,0,30.7,57,996.3,0,892
2008 jun 01,16:40,175,204,0,0,31.1,57,996.2,0,914
2008 jun 01,16:50,171,204,0,0,31.3,56,996.2,0,932
2008 jun 01,17:00,168,204,0,0,31.6,55,996.2,0,949
2008 jun 01,17:10,168,204,0,0,32.1,52,996.2,0,964
2008 jun 01,17:20,163,204,0,0,32.5,51,996.1,0,979
2008 jun 01,17:30,167,204,0,0,32.5,49,996,0,987
2008 jun 01,17:40,156,204,0,0,32.7,50,996,0,997
2008 jun 01,17:50,148,204,0,0,32.9,50,996,0,1005
2008 jun 01,18:00,145,204,0,0,33.2,49,996,0,1011
2008 jun 01,18:10,144,204,0,0,33.3,48,995.8,0,1019
2008 jun 01,18:20,144,204,0,0,33.7,46,995.8,0,1023
2008 jun 01,18:30,149,204,0,0,33.7,47,995.7,0,1027
2008 jun 01,18:40,165,204,0,0,33.6,47,995.5,0,1026
2008 jun 01,18:50,156,204,0,0,33.8,47,995.3,0,1025
2008 jun 01,19:00,146,204,0,0,34.3,42,995.2,0,1023
2008 jun 01,19:10,149,204,0,0,34.3,43,995.1,0,1022
2008 jun 01,19:20,150,204,0,0,34.3,41,995,0,1016
2008 jun 01,19:30,155,204,0,0,34.9,40,994.8,0,1008
2008 jun 01,19:40,153,204,0,0,34.7,42,994.6,0,998
2008 jun 01,19:50,153,204,0,0,34.8,42,994.4,0,984
2008 jun 01,20:00,146,204,0,0,35.1,42,994.3,0,971
2008 jun 01,20:10,164,204,0,0,35,43,994.2,0,953
2008 jun 01,20:20,158,204,0,0,35.4,38,994,0,938
2008 jun 01,20:30,149,204,0,0,35.7,39,993.8,0,919
2008 jun 01,20:40,148,204,0,0,35.3,42,993.7,0,898
2008 jun 01,20:50,146,204,0,0,35.8,39,993.6,0,875
2008 jun 01,21:00,145,204,0,0,35.6,40,993.5,0,849
2008 jun 01,21:10,145,204,0,0,36,39,993.4,0,826
2008 jun 01,21:20,144,204,0,0,36,39,993.3,0,794
2008 jun 01,21:30,160,204,0,0,36.2,39,993.1,0,765
2008 jun 01,21:40,157,204,0,0,35.7,40,993,0,736
2008 jun 01,21:50,138,204,0,0,36.3,36,992.9,0,705
2008 jun 01,22:00,144,204,0,0,36.5,37,992.8,0,673
2008 jun 01,22:10,147,204,0,0,36.4,37,992.7,0,642
2008 jun 01,22:20,160,204,0,0,36.2,38,992.6,0,608
2008 jun 01,22:30,163,204,0,0,36.2,38,992.4,0,577
2008 jun 01,22:40,156,204,0,0,36.3,39,992.3,0,538
2008 jun 01,22:50,155,204,0,0,36,39,992.3,0,503
2008 jun 01,23:00,154,204,0,0,36.2,40,992.2,0,467
2008 jun 01,23:10,148,204,0,0,35.8,43,992.1,0,429
2008 jun 01,23:20,141,204,0,0,35.6,43,992.1,0,394
2008 jun 01,23:30,140,204,0,0,35.7,45,992.1,0,353
2008 jun 01,23:40,128,204,0,0,35.9,43,992.1,0,318
2008 jun 01,23:50,133,204,0,0,35.7,44,992.2,0,285
2008 jun 02,0:00,134,204,0,0,35.4,46,992.3,0,247
2008 jun 02,0:10,132,204,0,0,35.5,44,992.3,0,213
2008 jun 02,0:20,130,204,0,0,35.1,48,992.5,0,179
2008 jun 02,0:30,120,204,0,0,34.6,51,992.7,0,143
2008 jun 02,0:40,116,204,0,0,34.2,52,992.8,0,107
2008 jun 02,0:50,123,204,0,0,33.8,55,992.9,0,76
2008 jun 02,1:00,124,204,0,0,33.4,56,993.1,0,49
2008 jun 02,1:10,125,204,0,0,32.9,59,993.3,0,26
2008 jun 02,1:30,126,204,0,0,32.2,61,993.6,0,6
2008 jun 02,1:40,123,204,0,0,31.6,63,993.8,0,-2
2008 jun 02,1:50,123,204,0,0,31.2,64,994,0,-2
2008 jun 02,2:00,125,204,0,0,30.9,65,994.3,0,-3
2008 jun 02,2:10,125,204,0,0,30.6,67,994.5,0,-3
2008 jun 02,2:20,124,204,0,0,30.2,68,994.7,0,-3
2008 jun 02,2:30,123,204,0,0,30,68,994.8,0,-3
2008 jun 02,2:40,129,204,0,0,29.8,69,995,0,-3
2008 jun 02,2:50,124,204,0,0,29.6,70,995.1,0,-3
2008 jun 02,3:00,128,204,0,0,29.3,71,995.3,0,-3
2008 jun 02,3:10,124,204,0,0,29,74,995.5,0,-2
2008 jun 02,3:20,126,204,0,0,28.7,76,995.7,0,-2
2008 jun 02,3:30,133,204,0,0,28.5,77,995.8,0,-2
2008 jun 02,3:40,134,204,0,0,28.3,78,996.1,0,-3
2008 jun 02,3:50,135,204,0,0,28,80,996.3,0,-2
2008 jun 02,4:00,136,204,0,0,27.8,80,996.4,0,-3
2008 jun 02,4:10,141,204,0,0,27.7,82,996.5,0,-3
2008 jun 02,4:20,138,204,0,0,27.5,82,996.6,0,-3
2008 jun 02,4:30,138,204,0,0,27.4,81,996.7,0,-3
2008 jun 02,4:40,140,204,0,0,27.3,81,996.7,0,-3
2008 jun 02,4:50,137,204,0,0,27.2,81,996.8,0,-3
2008 jun 02,5:00,139,204,0,0,27.1,81,996.7,0,-3
2008 jun 02,5:10,137,204,0,0,27,83,996.8,0,-3
2008 jun 02,5:20,137,204,0,0,26.9,83,996.8,0,-3
2008 jun 02,5:30,144,204,0,0,26.8,84,996.8,0,-3
2008 jun 02,5:40,148,204,0,0,26.7,85,996.8,0,-3
2008 jun 02,5:50,144,204,0,0,26.6,85,996.7,0,-3
2008 jun 02,6:00,146,204,0,0,26.5,85,996.7,0,-3
2008 jun 02,6:10,145,204,0,0,26.4,85,996.6,0,-3
2008 jun 02,6:20,145,204,0,0,26.4,86,996.5,0,-3
2008 jun 02,6:30,144,204,0,0,26.4,86,996.3,0,-2
2008 jun 02,6:40,143,204,0,0,26.4,86,996.2,0,-3
2008 jun 02,6:50,140,204,0,0,26.3,86,996,0,-3
2008 jun 02,7:00,145,204,0,0,26.3,86,995.8,0,-2
2008 jun 02,7:10,144,204,0,0,26.3,87,995.7,0,-2
2008 jun 02,7:20,142,204,0,0,26.3,87,995.7,0,-2
2008 jun 02,7:30,146,204,0,0,26.2,87,995.6,0,-2
2008 jun 02,7:40,146,204,0,0,26.2,87,995.5,0,-2
2008 jun 02,7:50,146,204,0,0,26.1,88,995.4,0,-2
2008 jun 02,8:00,147,204,0,0,26,89,995.3,0,-2
2008 jun 02,8:10,147,204,0,0,25.9,89,995.1,0,-2
2008 jun 02,8:20,149,204,0,0,25.9,90,995,0,-2
2008 jun 02,8:30,148,204,0,0,25.8,90,995,0,-3
2008 jun 02,8:40,150,204,0,0,25.8,90,994.9,0,-3
2008 jun 02,8:50,146,204,0,0,25.8,90,994.8,0,-3
2008 jun 02,9:00,148,204,0,0,25.8,90,994.7,0,-3
2008 jun 02,9:10,147,204,0,0,25.8,90,994.7,0,-3
2008 jun 02,9:20,146,204,0,0,25.7,91,994.7,0,-3
2008 jun 02,9:30,142,204,0,0,25.6,91,994.6,0,-3
2008 jun 02,9:40,138,204,0,0,25.5,91,994.6,0,-3
2008 jun 02,9:50,139,204,0,0,25.4,92,994.7,0,-3
2008 jun 02,10:00,140,204,0,0,25.4,93,994.6,0,-3
2008 jun 02,10:10,144,204,0,0,25.3,93,994.6,0,-3
2008 jun 02,10:20,142,204,0,0,25.3,93,994.6,0,-3
2008 jun 02,10:30,143,204,0,0,25.2,93,994.5,0,-3
2008 jun 02,10:40,144,204,0,0,25.2,94,994.4,0,-3
2008 jun 02,10:50,142,204,0,0,25.2,94,994.4,0,-3
2008 jun 02,11:00,144,204,0,0,25.1,94,994.4,0,-3
2008 jun 02,11:10,141,204,0,0,25.1,94,994.6,0,-3
2008 jun 02,11:20,141,204,0,0,25.1,94,994.6,0,-3
2008 jun 02,11:30,139,204,0,0,25,94,994.6,0,-3
2008 jun 02,11:40,140,204,0,0,25,95,994.7,0,-2
2008 jun 02,11:50,139,204,0,0,24.9,94,994.7,0,2
2008 jun 02,12:00,141,204,0,0,24.9,95,994.8,0,13
2008 jun 02,12:10,144,204,0,0,24.9,94,994.8,0,34
2008 jun 02,12:20,148,204,0,0,25,94,994.8,0,59
2008 jun 02,12:30,149,204,0,0,25.2,93,995,0,84
2008 jun 02,12:40,150,204,0,0,25.3,92,995,0,111
2008 jun 02,12:50,151,204,0,0,25.5,91,995.1,0,141
2008 jun 02,13:00,151,204,0,0,25.7,89,995.2,0,174
2008 jun 02,13:10,148,204,0,0,25.8,88,995.2,0,211
2008 jun 02,13:20,144,204,0,0,26,87,995.3,0,251
2008 jun 02,13:30,157,204,0,0,26.3,86,995.3,0,290
2008 jun 02,13:40,154,204,0,0,26.6,84,995.3,0,329
2008 jun 02,13:50,153,204,0,0,26.8,83,995.5,0,367
2008 jun 02,14:00,150,204,0,0,27.3,81,995.4,0,406
2008 jun 02,14:10,153,204,0,0,27.5,79,995.4,0,444
2008 jun 02,14:20,162,204,0,0,28,77,995.5,0,481
2008 jun 02,14:30,157,204,0,0,28.3,76,995.6,0,518
2008 jun 02,14:40,156,204,0,0,28.7,73,995.6,0,554
2008 jun 02,14:50,162,204,0,0,28.9,72,995.6,0,590
2008 jun 02,15:00,164,204,0,0,29.2,71,995.7,0,624
2008 jun 02,15:10,163,204,0,0,29.4,69,995.7,0,657
2008 jun 02,15:20,167,204,0,0,29.6,69,995.7,0,690
2008 jun 02,15:30,162,204,0,0,29.9,68,995.8,0,721
2008 jun 02,15:40,176,204,0,0,30,67,995.8,0,750
2008 jun 02,15:50,175,204,0,0,30.3,66,995.8,0,778
2008 jun 02,16:00,160,204,0,0,30.7,65,995.8,0,808
2008 jun 02,16:10,153,204,0,0,31.2,64,995.8,0,835
2008 jun 02,16:20,161,204,0,0,31.4,63,995.8,0,859
2008 jun 02,16:30,158,204,0,0,31.6,61,995.8,0,883
2008 jun 02,16:40,173,204,0,0,31.8,61,995.8,0,903
2008 jun 02,16:50,164,204,0,0,31.8,62,995.7,0,921
2008 jun 02,17:00,165,204,0,0,32.2,60,995.7,0,940
2008 jun 02,17:10,161,204,0,0,32.6,58,995.6,0,956
2008 jun 02,17:20,172,204,0,0,32.7,58,995.5,0,968
2008 jun 02,17:30,170,204,0,0,32.9,58,995.4,0,979
2008 jun 02,17:40,166,204,0,0,33.1,56,995.3,0,992
2008 jun 02,17:50,171,204,0,0,33.2,57,995.1,0,998
2008 jun 02,18:00,165,204,0,0,33.4,57,995,0,1004
2008 jun 02,18:10,171,204,0,0,33.6,55,994.9,0,1011
2008 jun 02,18:20,172,204,0,0,33.7,54,994.7,0,1013
2008 jun 02,18:30,160,204,0,0,34,53,994.6,0,1019
2008 jun 02,18:40,165,204,0,0,34.3,50,994.4,0,1018
2008 jun 02,18:50,160,204,0,0,34.4,49,994.2,0,1018
2008 jun 02,19:00,160,204,0,0,34.8,48,994.1,0,1017
2008 jun 02,19:10,163,204,0,0,35.1,46,993.9,0,1007
2008 jun 02,19:20,156,204,0,0,35.4,45,993.8,0,1005
2008 jun 02,19:30,154,204,0,0,35.4,43,993.6,0,994
2008 jun 02,19:40,159,204,0,0,35.4,44,993.5,0,983
2008 jun 02,19:50,144,204,0,0,35.6,44,993.4,0,971
2008 jun 02,20:00,150,204,0,0,35.6,47,993.3,0,961
2008 jun 02,20:10,155,204,0,0,35.5,45,993.1,0,944
2008 jun 02,20:20,150,204,0,0,35.9,45,993,0,929
2008 jun 02,20:30,152,204,0,0,36,45,992.8,0,911
2008 jun 02,20:40,149,204,0,0,36.1,42,992.6,0,897
2008 jun 02,20:50,158,204,0,0,36.1,46,992.5,0,871
2008 jun 02,21:00,142,204,0,0,36,45,992.3,0,846
2008 jun 02,21:10,141,204,0,0,36.2,45,992.1,0,817
2008 jun 02,21:20,144,204,0,0,36,45,992,0,795
2008 jun 02,21:30,142,204,0,0,36.3,41,991.9,0,763
2008 jun 02,21:40,153,204,0,0,36.3,42,991.8,0,735
2008 jun 02,21:50,131,204,0,0,36.3,40,991.8,0,701
2008 jun 02,22:00,141,204,0,0,36.6,41,991.7,0,669
2008 jun 02,22:10,144,204,0,0,36.1,42,991.6,0,637
2008 jun 02,22:20,138,204,0,0,36.4,40,991.5,0,603
2008 jun 02,22:30,140,204,0,0,36.2,42,991.3,0,571
2008 jun 02,22:40,139,204,0,0,35.9,45,991.3,0,535
2008 jun 02,22:50,129,204,0,0,35.6,47,991.2,0,499
2008 jun 02,23:00,131,204,0,0,35.6,48,991.2,0,462
2008 jun 02,23:10,135,204,0,0,35.4,49,991.2,0,432
2008 jun 02,23:20,136,204,0,0,35.1,50,991.3,0,388
2008 jun 02,23:30,138,204,0,0,34.8,51,991.2,0,352
2008 jun 02,23:40,132,204,0,0,34.7,51,991.2,0,318
2008 jun 02,23:50,132,204,0,0,34.5,52,991.1,0,283
2008 jun 03,0:00,133,204,0,0,34.3,52,991.1,0,249
2008 jun 03,0:10,131,204,0,0,33.8,54,991.1,0,214
2008 jun 03,0:20,135,204,0,0,33.4,57,991.2,0,180
2008 jun 03,0:30,130,204,0,0,33.2,56,991.3,0,146
2008 jun 03,0:40,135,204,0,0,33,56,991.4,0,113
2008 jun 03,0:50,134,204,0,0,32.8,57,991.4,0,82
2008 jun 03,1:00,132,204,0,0,32.4,58,991.5,0,53
2008 jun 03,1:10,131,204,0,0,32.2,58,991.7,0,27
2008 jun 03,1:30,132,204,0,0,31.8,58,992,0,5
2008 jun 03,1:40,131,204,0,0,31.6,57,992.2,0,-1
2008 jun 03,1:50,130,204,0,0,31.3,58,992.3,0,-3
2008 jun 03,2:00,131,204,0,0,31,60,992.4,0,-3
2008 jun 03,2:10,131,204,0,0,30.7,61,992.5,0,-3
2008 jun 03,2:20,129,204,0,0,30.5,61,992.7,0,-3
2008 jun 03,2:30,134,204,0,0,30.2,61,992.9,0,-3
2008 jun 03,2:40,134,204,0,0,30,63,993.2,0,-3
2008 jun 03,2:50,135,204,0,0,29.7,64,993.3,0,-3
2008 jun 03,3:00,135,204,0,0,29.4,65,993.5,0,-3
2008 jun 03,3:10,135,204,0,0,29.2,67,993.6,0,-3
2008 jun 03,3:20,132,204,0,0,28.9,67,993.7,0,-3
2008 jun 03,3:30,136,204,0,0,28.7,69,993.9,0,-3
2008 jun 03,3:40,136,204,0,0,28.5,70,994,0,-3
2008 jun 03,3:50,135,204,0,0,28.3,72,994.2,0,-3
2008 jun 03,4:00,132,204,0,0,28.1,74,994.3,0,-3
2008 jun 03,4:10,136,204,0,0,27.8,77,994.4,0,-3
2008 jun 03,4:20,134,204,0,0,27.6,78,994.5,0,-3
2008 jun 03,4:30,138,204,0,0,27.4,79,994.5,0,-3
2008 jun 03,4:40,138,204,0,0,27.3,80,994.6,0,-2
2008 jun 03,4:50,141,204,0,0,27.1,81,994.8,0,-2
2008 jun 03,5:00,141,204,0,0,26.9,83,994.9,0,-2
2008 jun 03,5:10,141,204,0,0,26.8,84,994.9,0,-2
2008 jun 03,5:20,148,204,0,0,26.7,84,994.9,0,-2
2008 jun 03,5:30,146,204,0,0,26.7,84,995,0,-2
2008 jun 03,5:40,146,204,0,0,26.6,84,995,0,-3
2008 jun 03,5:50,142,204,0,0,26.5,85,995,0,-2
2008 jun 03,6:00,141,204,0,0,26.5,85,995,0,-2
2008 jun 03,6:10,139,204,0,0,26.4,85,994.9,0,-2
2008 jun 03,6:20,142,204,0,0,26.3,85,994.8,0,-2
2008 jun 03,6:30,143,204,0,0,26.3,86,994.7,0,-2
2008 jun 03,6:40,143,204,0,0,26.2,86,994.6,0,-2
2008 jun 03,6:50,142,204,0,0,26.1,86,994.5,0,-2
2008 jun 03,7:00,143,204,0,0,26.1,86,994.4,0,-3
2008 jun 03,7:10,145,204,0,0,26.1,86,994.3,0,-3
2008 jun 03,7:20,146,204,0,0,26,86,994.3,0,-3
2008 jun 03,7:30,144,204,0,0,26,86,994.3,0,-3
