fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar,nombre_estacion
6/1/2018 0:00,337,330,9.1,21.2,30,54,923.9,0,50,"EL DIENTE, N.L."
6/1/2018 0:10,338,354,8.3,18.7,29.8,54,924,0,44,"EL DIENTE, N.L."
6/1/2018 0:20,346,340,6.3,21.2,29.6,54,924.1,0,39,"EL DIENTE, N.L."
6/1/2018 0:30,352,20,7.8,16.2,29.5,55,924.2,0,33,"EL DIENTE, N.L."
6/1/2018 0:40,342,12,5.8,12.2,29.3,55,924.3,0,28,"EL DIENTE, N.L."
6/1/2018 0:50,318,290,4.9,14.4,29.1,56,924.3,0,22,"EL DIENTE, N.L."
6/1/2018 1:00,345,5,6,16.2,28.6,58,924.4,0,16,"EL DIENTE, N.L."
6/1/2018 1:10,342,348,6.6,16.6,28.2,59,924.4,0,9,"EL DIENTE, N.L."
6/1/2018 1:20,333,313,5.5,12.6,28.1,59,924.4,0,4,"EL DIENTE, N.L."
6/1/2018 1:30,350,355,6.3,17.3,27.9,59,924.3,0,0,"EL DIENTE, N.L."
6/1/2018 1:40,324,348,3.7,9.7,27.8,60,924.3,0,0,"EL DIENTE, N.L."
6/1/2018 1:50,323,302,4.5,9,27.3,63,924.4,0,0,"EL DIENTE, N.L."
6/1/2018 2:00,348,313,4.5,10.1,26.5,66,924.3,0,0,"EL DIENTE, N.L."
6/1/2018 2:10,223,20,2.5,8.6,26.2,66,924.3,0,0,"EL DIENTE, N.L."
6/1/2018 2:20,231,219,3,7.9,25.9,68,924.4,0,0,"EL DIENTE, N.L."
6/1/2018 2:30,219,213,3.1,7.9,25.5,69,924.6,0,0,"EL DIENTE, N.L."
6/1/2018 2:40,232,313,3.3,7.2,25.2,70,924.6,0,0,"EL DIENTE, N.L."
6/1/2018 2:50,229,214,3.2,8.3,24.8,72,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 3:00,239,236,2.7,7.2,24.6,72,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 3:10,223,233,2.7,5.8,24.2,74,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 3:20,213,231,2.3,7.9,23.9,75,924.9,0,0,"EL DIENTE, N.L."
6/1/2018 3:30,223,165,4.3,9.7,23.7,76,925,0,0,"EL DIENTE, N.L."
6/1/2018 3:40,246,309,3.4,7.9,23.6,75,925.1,0,0,"EL DIENTE, N.L."
6/1/2018 3:50,204,180,3.8,7.9,23.7,75,925.2,0,0,"EL DIENTE, N.L."
6/1/2018 4:00,243,232,2.8,6.8,23.5,75,925.4,0,0,"EL DIENTE, N.L."
6/1/2018 4:10,266,155,5,10.1,23.3,75,925.5,0,0,"EL DIENTE, N.L."
6/1/2018 4:20,273,309,4.5,13,23.4,75,925.6,0,0,"EL DIENTE, N.L."
6/1/2018 4:30,250,258,3.9,10.1,23.3,74,925.5,0,0,"EL DIENTE, N.L."
6/1/2018 4:40,237,318,4.6,10.1,23.1,75,925.5,0,0,"EL DIENTE, N.L."
6/1/2018 4:50,222,315,2.5,8.3,22.8,75,925.5,0,0,"EL DIENTE, N.L."
6/1/2018 5:00,223,207,3.7,7.6,22.6,75,925.6,0,0,"EL DIENTE, N.L."
6/1/2018 5:10,253,313,3.3,6.8,22.4,75,925.6,0,0,"EL DIENTE, N.L."
6/1/2018 5:20,236,199,3.6,6.8,22.1,75,925.6,0,0,"EL DIENTE, N.L."
6/1/2018 5:30,245,242,3.1,6.5,22,74,925.5,0,0,"EL DIENTE, N.L."
6/1/2018 5:40,227,216,2.2,6.8,22,72,925.6,0,0,"EL DIENTE, N.L."
6/1/2018 5:50,275,317,4.8,8.3,21.8,73,925.4,0,0,"EL DIENTE, N.L."
6/1/2018 6:00,236,339,2.9,6.5,21.6,73,925.3,0,0,"EL DIENTE, N.L."
6/1/2018 6:10,256,298,4.5,10.4,21.5,72,925.3,0,0,"EL DIENTE, N.L."
6/1/2018 6:20,250,183,2.5,7.9,21.3,73,925.3,0,0,"EL DIENTE, N.L."
6/1/2018 6:30,270,297,2.6,5.8,21,73,925.3,0,0,"EL DIENTE, N.L."
6/1/2018 6:40,242,213,2.8,6.5,20.8,74,925.2,0,0,"EL DIENTE, N.L."
6/1/2018 6:50,303,317,4.2,6.8,20.8,75,925.2,0,0,"EL DIENTE, N.L."
6/1/2018 7:00,284,292,2.1,5.8,20.8,74,925.2,0,0,"EL DIENTE, N.L."
6/1/2018 7:10,275,274,3.5,6.8,20.7,74,925.1,0,0,"EL DIENTE, N.L."
6/1/2018 7:20,260,183,3,6.1,20.5,75,925.1,0,0,"EL DIENTE, N.L."
6/1/2018 7:30,268,315,2.3,5.4,20.6,74,925,0,0,"EL DIENTE, N.L."
6/1/2018 7:40,253,278,2.5,6.8,20.3,75,925,0,0,"EL DIENTE, N.L."
6/1/2018 7:50,293,320,2.7,5.8,20,78,924.9,0,0,"EL DIENTE, N.L."
6/1/2018 8:00,226,218,2,5.8,19.7,79,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 8:10,261,315,2,5.4,19.6,79,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 8:20,274,306,2.4,5.4,19.4,80,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 8:30,278,206,3.1,7.9,19.3,79,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 8:40,265,304,3.5,10.1,19.6,75,924.6,0,0,"EL DIENTE, N.L."
6/1/2018 8:50,271,305,2.9,7.9,19.9,73,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 9:00,263,312,2.4,6.5,19.8,75,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 9:10,286,334,2,7.6,19.7,76,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 9:20,246,333,1.9,5,19.5,74,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 9:30,247,302,1.4,5,19.5,75,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 9:40,253,286,2.2,7.6,19.7,74,924.8,0,0,"EL DIENTE, N.L."
6/1/2018 9:50,290,307,3.3,8.3,19.6,75,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 10:00,276,322,2.5,6.1,19.6,76,924.6,0,0,"EL DIENTE, N.L."
6/1/2018 10:10,290,309,4.6,7.9,19.6,77,924.5,0,0,"EL DIENTE, N.L."
6/1/2018 10:20,284,303,2.8,8.6,19.2,78,924.5,0,0,"EL DIENTE, N.L."
6/1/2018 10:30,282,315,4.1,8.6,19,79,924.6,0,0,"EL DIENTE, N.L."
6/1/2018 10:40,253,309,3.3,8.3,18.7,80,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 10:50,253,203,2.9,6.1,18.7,79,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 11:00,299,308,2.5,6.5,18.6,81,924.7,0,0,"EL DIENTE, N.L."
6/1/2018 11:10,250,222,2.8,8.6,18.4,80,924.9,0,0,"EL DIENTE, N.L."
