Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
2/1/2023 0:00,2/1/2023 6:00,79,86,2.1,5.4,4.7,100,936.2,0,0
2/1/2023 0:10,2/1/2023 6:10,44,65,2.1,5.8,4.8,100,936.2,0,0
2/1/2023 0:20,2/1/2023 6:20,55,54,2.9,6.1,4.7,100,936.2,0,0
2/1/2023 0:30,2/1/2023 6:30,86,77,3.4,6.8,4.7,100,936.2,0,0
2/1/2023 0:40,2/1/2023 6:40,96,85,2.7,5.8,4.7,100,936.2,0,0
2/1/2023 0:50,2/1/2023 6:50,74,56,3,6.5,4.7,100,936.1,0,0
2/1/2023 1:00,2/1/2023 7:00,68,70,3.5,8.6,4.6,100,936.1,0,0
2/1/2023 1:10,2/1/2023 7:10,61,62,4.2,9.7,4.6,100,936,0,0
2/1/2023 1:20,2/1/2023 7:20,57,71,5,12.6,4.5,100,936.1,0,0
2/1/2023 1:30,2/1/2023 7:30,63,89,4.3,8.6,4.4,100,936.1,0,0
2/1/2023 1:40,2/1/2023 7:40,56,25,2.6,6.5,4.3,100,936,0,0
2/1/2023 1:50,2/1/2023 7:50,90,92,2.6,5.8,4.3,100,935.9,0,0
2/1/2023 2:00,2/1/2023 8:00,78,56,3.5,6.8,4.3,100,935.8,0,0
2/1/2023 2:10,2/1/2023 8:10,97,71,3.5,6.1,4.3,100,935.7,0,0
2/1/2023 2:20,2/1/2023 8:20,77,76,3.3,9,4.3,100,935.6,0,0
2/1/2023 2:30,2/1/2023 8:30,82,75,3.1,6.8,4.2,100,935.5,0,0
2/1/2023 2:40,2/1/2023 8:40,69,65,2.9,6.1,4.2,100,935.5,0,0
2/1/2023 2:50,2/1/2023 8:50,93,128,2.1,4.7,4.2,100,935.5,0,0
2/1/2023 3:00,2/1/2023 9:00,78,71,2.7,5.4,4.2,100,935.4,0,0
2/1/2023 3:10,2/1/2023 9:10,87,88,2.5,5.4,4.2,100,935.3,0,0
2/1/2023 3:20,2/1/2023 9:20,55,67,2.7,5,4.2,100,935.2,0,0
2/1/2023 3:30,2/1/2023 9:30,53,54,2.8,5,4.1,100,935.2,0,0
2/1/2023 3:40,2/1/2023 9:40,69,79,2.9,5.8,4.1,100,935.2,0,0
2/1/2023 3:50,2/1/2023 9:50,61,77,2.1,4,4.1,100,935.2,0,0
2/1/2023 4:00,2/1/2023 10:00,61,55,1.9,4.3,4.1,100,935.1,0,0
2/1/2023 4:10,2/1/2023 10:10,42,24,1.7,4.3,4.1,100,935,0,0
2/1/2023 4:20,2/1/2023 10:20,64,58,4.1,6.8,4.1,100,935.1,0,0
2/1/2023 4:30,2/1/2023 10:30,55,41,3.3,6.1,4,100,935.2,0,0
2/1/2023 4:40,2/1/2023 10:40,46,38,1.5,4,4,100,935.2,0,0
2/1/2023 4:50,2/1/2023 10:50,92,100,1.5,3.6,4,100,935.2,0.2,0
2/1/2023 5:00,2/1/2023 11:00,105,110,2.5,4.3,4.1,100,935.2,0,0
2/1/2023 5:10,2/1/2023 11:10,64,55,2.9,5.8,4.1,100,935.1,0,0
2/1/2023 5:20,2/1/2023 11:20,73,104,2.5,4.7,4.1,100,935.3,0,0
2/1/2023 5:30,2/1/2023 11:30,98,98,2.5,5,4.1,100,935.4,0,0
2/1/2023 5:40,2/1/2023 11:40,60,41,2.2,4,4.1,100,935.5,0,0
2/1/2023 5:50,2/1/2023 11:50,67,62,3,5.8,4.1,100,935.6,0,0
2/1/2023 6:00,2/1/2023 12:00,91,76,4.1,6.8,4.1,100,935.6,0,0
2/1/2023 6:10,2/1/2023 12:10,78,67,3.9,6.5,4.1,100,935.6,0,0
2/1/2023 6:20,2/1/2023 12:20,81,86,2.6,4.7,4,100,935.6,0,0
2/1/2023 6:30,2/1/2023 12:30,69,81,3.2,5.4,4,100,935.6,0,0
