Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
12/1/2022 12:20,12/1/2022 18:20,27,353,0.8,2.9,12.3,100,937.5,0,103
12/1/2022 12:30,12/1/2022 18:30,331,158,1,2.9,12.5,100,937.4,0,105
12/1/2022 12:40,12/1/2022 18:40,132,45,1.2,3.6,12.6,100,937.2,0,100
12/1/2022 12:50,12/1/2022 18:50,56,72,2,4.7,12.8,100,936.9,0,95
12/1/2022 13:00,12/1/2022 19:00,65,84,2,5,12.9,100,936.6,0,106
12/1/2022 13:10,12/1/2022 19:10,84,87,3.3,7.6,13.1,100,936.6,0,85
12/1/2022 13:20,12/1/2022 19:20,74,71,2.7,5,13.1,100,936.5,0,78
12/1/2022 13:30,12/1/2022 19:30,69,32,2.3,4.7,13.1,100,936.3,0,80
12/1/2022 13:40,12/1/2022 19:40,67,59,3.1,6.5,13.1,100,936.1,0,86
12/1/2022 13:50,12/1/2022 19:50,90,80,4.1,7.2,13,100,936,0,82
12/1/2022 14:00,12/1/2022 20:00,90,54,1.7,3.6,12.8,100,935.9,0,82
12/1/2022 14:10,12/1/2022 20:10,51,81,0.9,3.2,12.8,100,935.8,0,94
12/1/2022 14:20,12/1/2022 20:20,101,51,2,5.4,12.9,100,935.7,0,101
12/1/2022 14:30,12/1/2022 20:30,67,57,2.8,6.5,13.1,100,935.6,0,99
12/1/2022 14:40,12/1/2022 20:40,106,94,2.1,5,13.2,100,935.4,0,103
12/1/2022 14:50,12/1/2022 20:50,75,70,2.4,6.8,13.3,100,935.3,0,96
12/1/2022 15:00,12/1/2022 21:00,88,65,2.5,6.1,13.4,100,935.3,0,94
12/1/2022 15:10,12/1/2022 21:10,83,79,5.1,9,13.4,100,935.2,0,68
12/1/2022 15:20,12/1/2022 21:20,68,79,1.7,4.7,13.3,100,935.1,0,78
12/1/2022 15:30,12/1/2022 21:30,60,62,1.7,5.4,13.4,100,935,0,58
12/1/2022 15:40,12/1/2022 21:40,80,95,2.1,4.3,13.3,100,934.9,0,57
12/1/2022 15:50,12/1/2022 21:50,30,357,1.3,3.6,13.3,100,934.7,0,64
12/1/2022 16:00,12/1/2022 22:00,81,71,3.8,8.6,13.4,100,934.7,0,51
12/1/2022 16:10,12/1/2022 22:10,87,97,3.5,7.6,13.2,100,934.6,0,30
12/1/2022 16:20,12/1/2022 22:20,80,62,1.7,4.7,13,100,934.6,0,31
