Fecha Local,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
5/1/2022 0:00,15,49,8.7,21.2,29.7,58,923.9,0,70
5/1/2022 0:10,348,348,11.2,25.9,29.5,59,923.9,0,60
5/1/2022 0:20,7,354,10.4,22.3,29.3,60,923.9,0,57
5/1/2022 0:30,16,6,13.5,27,29.2,62,924,0,55
5/1/2022 0:40,9,347,10.6,24.8,29.1,62,924.1,0,32
5/1/2022 0:50,16,37,11.6,27.4,28.9,63,924.1,0,14
5/1/2022 1:00,360,13,12.5,29.5,28.6,64,924.2,0,5
5/1/2022 1:10,9,38,12.9,32.8,28.4,65,924.3,0,0
5/1/2022 1:20,9,3,12.4,25.2,28.3,66,924.3,0,0
5/1/2022 1:30,1,17,11.5,27.7,28.1,66,924.6,0,0
5/1/2022 1:40,8,17,12.7,26.6,28,67,924.7,0,0
5/1/2022 1:50,13,16,12.9,33.5,27.8,68,924.9,0,0
5/1/2022 2:00,3,18,11.1,23.8,27.7,69,925.1,0,0
5/1/2022 2:10,9,4,11.3,20.9,27.5,69,925.3,0,0
5/1/2022 2:20,357,327,11.2,26.3,27.5,70,925.3,0,0
5/1/2022 2:30,356,16,8.6,31.7,27.3,70,925.4,0,0
5/1/2022 2:40,48,53,4.7,14.8,27.2,72,925.6,0,0
5/1/2022 2:50,21,352,6.1,15.8,27,75,925.8,0,0
5/1/2022 3:00,352,5,8,20.2,26.8,80,926,0,0
5/1/2022 3:10,359,22,11.9,29.2,26.5,84,926.3,0,0
5/1/2022 3:20,5,29,12.1,37.1,26.1,85,926.6,0,0
5/1/2022 3:30,3,47,14.8,43.9,25.4,75,926.8,0,0
5/1/2022 3:40,17,347,13.6,46.4,24.1,75,927.8,0,0
5/1/2022 3:50,18,42,9.6,23.8,23.1,74,928,0,0
5/1/2022 4:00,62,103,5.9,14.4,22.7,76,927.7,0,0
5/1/2022 4:10,1,28,3.9,13.3,21.7,86,927.5,0,0
5/1/2022 4:20,18,96,2.6,7.2,21,92,927.1,0,0
5/1/2022 4:30,342,23,3.5,11.9,20.4,100,927,0,0
5/1/2022 4:40,171,187,2,4.7,20.1,100,926.9,0,0
5/1/2022 4:50,248,310,3.9,8.6,19.7,100,926.8,0,0
5/1/2022 5:00,329,305,2,7.9,19.4,100,926.6,0,0
5/1/2022 5:10,243,330,3.2,7.2,19.1,100,926.7,0,0
5/1/2022 5:20,277,308,2.8,5,18.9,100,926.6,0,0
5/1/2022 5:30,338,80,2.8,7.9,18.6,100,926.5,0,0
5/1/2022 5:40,200,237,4.3,9.7,18.6,100,926.6,0,0
5/1/2022 5:50,266,301,2.1,4.3,18.8,100,926.6,0,0
5/1/2022 6:00,248,319,3.6,8.3,18.6,100,926.5,0,0
5/1/2022 6:10,212,184,2.3,6.1,18.5,100,926.2,0,0
5/1/2022 6:20,161,198,1.9,4.7,18.5,100,926,0,0
5/1/2022 6:30,329,278,1.8,5,18.2,100,926.1,0,0
5/1/2022 6:40,215,177,3.1,7.2,18,100,926.3,0,0
5/1/2022 6:50,274,309,4.4,7.6,18,100,926.2,0,0
5/1/2022 7:00,258,304,2.7,5.8,18,100,926.1,0,0
5/1/2022 7:10,255,192,3.8,6.8,18,100,926.1,0,0
5/1/2022 7:20,265,197,2.5,6.8,18.1,100,926.2,0,0
5/1/2022 7:30,260,309,2.3,5.8,18,100,926.2,0,0
5/1/2022 7:40,226,202,2.6,6.5,18,100,926.2,0,0
5/1/2022 7:50,253,312,2.8,5.8,17.9,100,926.1,0,0
5/1/2022 8:00,259,186,1.5,5.8,17.9,100,925.9,0,0
5/1/2022 8:10,301,196,1.5,4.3,18,100,925.8,0,0
5/1/2022 8:20,241,217,2.1,5.8,17.9,100,925.8,0,0
5/1/2022 8:30,286,306,1.2,3.6,17.9,100,925.6,0,0
5/1/2022 8:40,308,308,2.8,6.8,17.8,100,925.6,0,0
5/1/2022 8:50,271,199,2.8,6.1,17.8,100,925.7,0,0
5/1/2022 9:00,215,201,3.5,6.1,17.9,100,925.6,0,0
5/1/2022 9:10,286,318,1.8,5.8,17.8,100,925.7,0,0
5/1/2022 9:20,268,307,3.4,7.6,17.7,100,925.8,0,0
5/1/2022 9:30,266,298,1.7,4,17.8,100,925.9,0,0
5/1/2022 9:40,255,185,2.7,6.8,17.8,100,925.8,0,0
5/1/2022 9:50,335,246,6.3,15.5,18.2,100,925.7,0,0
5/1/2022 10:00,311,333,1.8,4.7,18.6,100,925.6,0,0
5/1/2022 10:10,231,208,2.2,5.4,18.5,100,925.5,0,0
5/1/2022 10:20,289,216,2.3,6.8,18.4,100,925.5,0,0
5/1/2022 10:30,229,202,1.3,4,18.3,100,925.6,0,0
5/1/2022 10:40,281,310,1.4,3.6,18.4,100,925.7,0,0
5/1/2022 10:50,242,272,2.3,5.4,18.5,100,925.7,0,0
5/1/2022 11:00,318,352,1.9,4.3,18.7,100,925.7,0,0
5/1/2022 11:10,284,346,1.8,4,18.9,100,925.7,0,0
5/1/2022 11:20,214,180,1.8,5.4,19,100,925.7,0,0
5/1/2022 11:30,248,188,1.6,5.8,19.2,100,925.8,0,0
5/1/2022 11:40,315,309,2.9,5,19.3,100,925.8,0,0
5/1/2022 11:50,213,204,2.6,6.1,19.4,100,925.9,0,0
5/1/2022 12:00,224,180,1.5,3.2,19.6,100,926,0,0
